seed,partition,cosine_before,cosine_after,orthogonality_error
42,outer_train,0.002514986888703375,0.29926187123375236,5.5431364385677515e-15
42,heldout,-0.026800388582779878,0.12845821993156448,5.5431364385677515e-15
123,outer_train,-0.004817976486789848,0.29678391141897653,4.797914428359667e-15
123,heldout,-0.07241030332317433,0.14431050355875483,4.797914428359667e-15
456,outer_train,-0.0026393187791836754,0.3129701310422931,5.770575210484559e-15
456,heldout,-0.0617563642525995,0.0743540075127605,5.770575210484559e-15
789,outer_train,-0.028876513315276246,0.2950209087021979,6.584596229281143e-15
789,heldout,-0.07879610084224492,0.10575469431936455,6.584596229281143e-15
1024,outer_train,0.02809262092812233,0.30189765152397036,6.271701234993356e-15
1024,heldout,0.0652824603120264,0.11609166749310218,6.271701234993356e-15
