repeat,fold,cap,selected_epochs,epochs_used,cindex_original_selected,cindex_capped,delta_capped_minus_original
0,0,5,13,5,0.7444444444444445,0.6916666666666667,-0.05277777777777781
0,0,10,13,10,0.7444444444444445,0.7388888888888889,-0.005555555555555536
0,0,15,13,13,0.7444444444444445,0.7416666666666667,-0.002777777777777768
0,1,5,2,2,0.5964912280701754,0.5964912280701754,0.0
0,1,10,2,2,0.5964912280701754,0.5964912280701754,0.0
0,1,15,2,2,0.5964912280701754,0.5964912280701754,0.0
0,2,5,1,1,0.6390845070422535,0.6302816901408451,-0.008802816901408383
0,2,10,1,1,0.6390845070422535,0.6302816901408451,-0.008802816901408383
0,2,15,1,1,0.6390845070422535,0.6302816901408451,-0.008802816901408383
0,3,5,5,5,0.7307692307692307,0.7237762237762237,-0.006993006993006978
0,3,10,5,5,0.7307692307692307,0.7237762237762237,-0.006993006993006978
0,3,15,5,5,0.7307692307692307,0.7237762237762237,-0.006993006993006978
0,4,5,12,5,0.7348837209302326,0.7069767441860465,-0.027906976744186074
0,4,10,12,10,0.7348837209302326,0.7069767441860465,-0.027906976744186074
0,4,15,12,12,0.7348837209302326,0.7395348837209302,0.0046511627906976605
1,0,5,4,4,0.7964912280701755,0.7964912280701755,0.0
1,0,10,4,4,0.7964912280701755,0.7964912280701755,0.0
1,0,15,4,4,0.7964912280701755,0.7964912280701755,0.0
1,1,5,6,5,0.632996632996633,0.6296296296296297,-0.0033670033670033517
1,1,10,6,6,0.632996632996633,0.6296296296296297,-0.0033670033670033517
1,1,15,6,6,0.632996632996633,0.6296296296296297,-0.0033670033670033517
1,2,5,10,5,0.7791798107255521,0.7602523659305994,-0.018927444794952675
1,2,10,10,10,0.7791798107255521,0.7760252365930599,-0.003154574132492205
1,2,15,10,10,0.7791798107255521,0.7760252365930599,-0.003154574132492205
1,3,5,14,5,0.6217008797653959,0.624633431085044,0.0029325513196480912
1,3,10,14,10,0.6217008797653959,0.6099706744868035,-0.011730205278592365
1,3,15,14,14,0.6217008797653959,0.6187683284457478,-0.0029325513196480912
1,4,5,13,5,0.6901960784313725,0.7686274509803922,0.07843137254901966
1,4,10,13,10,0.6901960784313725,0.7137254901960784,0.02352941176470591
1,4,15,13,13,0.6901960784313725,0.6901960784313725,0.0
2,0,5,13,5,0.7307692307692307,0.7521367521367521,0.021367521367521403
2,0,10,13,10,0.7307692307692307,0.7321937321937322,0.0014245014245014564
2,0,15,13,13,0.7307692307692307,0.7264957264957265,-0.004273504273504258
2,1,5,26,5,0.8346007604562737,0.8365019011406845,0.0019011406844107182
2,1,10,26,10,0.8346007604562737,0.8288973384030418,-0.005703422053231932
2,1,15,26,15,0.8346007604562737,0.8250950570342205,-0.009505703422053258
2,2,5,72,5,0.6866197183098591,0.7605633802816901,0.073943661971831
2,2,10,72,10,0.6866197183098591,0.6971830985915493,0.010563380281690127
2,2,15,72,15,0.6866197183098591,0.6619718309859155,-0.02464788732394363
2,3,5,8,5,0.6100917431192661,0.6391437308868502,0.02905198776758411
2,3,10,8,8,0.6100917431192661,0.6146788990825688,0.004587155963302725
2,3,15,8,8,0.6100917431192661,0.6146788990825688,0.004587155963302725
2,4,5,19,5,0.3611111111111111,0.53125,0.1701388888888889
2,4,10,19,10,0.3611111111111111,0.46875,0.1076388888888889
2,4,15,19,15,0.3611111111111111,0.3506944444444444,-0.010416666666666685
