seed,query_modality,key_modality,mean_attention
42,tabular,tabular,0.3167046904563904
42,tabular,text,0.35393327474594116
42,tabular,vision,0.3293621838092804
42,text,tabular,0.3454594016075134
42,text,text,0.2951233685016632
42,text,vision,0.3594173192977905
42,vision,tabular,0.3552052080631256
42,vision,text,0.328902006149292
42,vision,vision,0.3158928155899048
123,tabular,tabular,0.3122498691082001
123,tabular,text,0.3494234085083008
123,tabular,vision,0.33832675218582153
123,text,tabular,0.3187599182128906
123,text,text,0.34179139137268066
123,text,vision,0.3394485414028168
123,vision,tabular,0.337024986743927
123,vision,text,0.3231969475746155
123,vision,vision,0.33977797627449036
456,tabular,tabular,0.3375169336795807
456,tabular,text,0.30915629863739014
456,tabular,vision,0.3533266484737396
456,text,tabular,0.33475011587142944
456,text,text,0.3303016126155853
456,text,vision,0.3349483013153076
456,vision,tabular,0.3419407308101654
456,vision,text,0.3270878791809082
456,vision,vision,0.3309714198112488
789,tabular,tabular,0.3446424901485443
789,tabular,text,0.3193539083003998
789,tabular,vision,0.33600369095802307
789,text,tabular,0.3370019495487213
789,text,text,0.31220078468322754
789,text,vision,0.35079723596572876
789,vision,tabular,0.33657771348953247
789,vision,text,0.32888513803482056
789,vision,vision,0.3345370292663574
1024,tabular,tabular,0.2999008595943451
1024,tabular,text,0.33993658423423767
1024,tabular,vision,0.3601626753807068
1024,text,tabular,0.40136903524398804
1024,text,text,0.2651529014110565
1024,text,vision,0.3334779739379883
1024,vision,tabular,0.3754660189151764
1024,vision,text,0.37017807364463806
1024,vision,vision,0.25435593724250793
