seed,candidate,reference,delta_observed,cindex_a,cindex_b,delta_mean,delta_lo,delta_hi,p_value,n_resamples
42,vision_mamba,vision_resnet,0.07807308970099669,0.6810631229235881,0.7591362126245847,0.07736804739284417,-0.11407963326382935,0.2556694824554697,0.4044,5000
42,fusion_mamba,fusion_resnet,0.0,0.8571428571428571,0.8571428571428571,0.0007215554108285152,-0.04581033470346444,0.048633945841392634,1.0,5000
42,fusion_mamba,tabular,0.0,0.8571428571428571,0.8571428571428571,0.0003679127972762591,-0.03125,0.03202904005839949,1.0,5000
123,vision_mamba,vision_resnet,0.1032934131736527,0.6676646706586826,0.7709580838323353,0.1057256948628444,-0.04334090909090909,0.2639431310304498,0.1632,5000
123,fusion_mamba,fusion_resnet,0.01646706586826352,0.8143712574850299,0.8308383233532934,0.017292094026462167,-0.03134295713035863,0.07894949066213922,0.5528,5000
123,fusion_mamba,tabular,0.038922155688622784,0.7919161676646707,0.8308383233532934,0.03851038098888848,0.002747064579256459,0.08709111796360117,0.0328,5000
456,vision_mamba,vision_resnet,0.08390410958904104,0.6284246575342466,0.7123287671232876,0.08340462518139832,-0.020925086942346353,0.18659601449275365,0.1144,5000
456,fusion_mamba,fusion_resnet,-0.006849315068493067,0.8767123287671232,0.8698630136986302,-0.006566617956593781,-0.03943006884814732,0.023716001454357764,0.766,5000
456,fusion_mamba,tabular,0.00171232876712335,0.8681506849315068,0.8698630136986302,0.0002967574852955298,-0.044643624202258286,0.044232011070110745,1.0,5000
789,vision_mamba,vision_resnet,0.11912225705329149,0.6536050156739812,0.7727272727272727,0.12016132464900273,0.02289858648013239,0.20903082866232395,0.0204,5000
789,fusion_mamba,fusion_resnet,0.037617554858934144,0.8369905956112853,0.8746081504702194,0.03795862244967765,-0.010454795525398885,0.09638747917715874,0.1444,5000
789,fusion_mamba,tabular,0.026645768025078342,0.8479623824451411,0.8746081504702194,0.02650261745821229,-0.013334821428571402,0.07106964313182582,0.1932,5000
1024,vision_mamba,vision_resnet,0.0494505494505495,0.5677655677655677,0.6172161172161172,0.04787256942487812,-0.14614154521724945,0.2397993425558143,0.6276,5000
1024,fusion_mamba,fusion_resnet,-0.012820512820512775,0.6703296703296703,0.6575091575091575,-0.012793776634004118,-0.06545454545454543,0.04561872237846521,0.6364,5000
1024,fusion_mamba,tabular,0.027472527472527486,0.63003663003663,0.6575091575091575,0.027753335994399095,-0.021188694554634024,0.0855855855855856,0.2868,5000
