repeat,fold,split_seed,n_train,n_heldout,events_heldout,cindex_tabular,cindex_vision_resnet,cindex_vision_mamba,cindex_fusion_resnet,cindex_fusion_mamba,delta_fusion_mamba_minus_resnet,delta_fusion_mamba_minus_tabular,delta_vision_mamba_minus_resnet,resnet_weight_tabular,resnet_weight_text,resnet_weight_vision,mamba_weight_tabular,mamba_weight_text,mamba_weight_vision,resnet_fusion_inner_cindex,mamba_fusion_inner_cindex,mamba_heldout_epochs,mamba_crossfit_epochs
0,0,3031,168,42,13,0.7222222222222222,0.6402777777777777,0.7444444444444445,0.725,0.7361111111111112,0.011111111111111183,0.01388888888888895,0.10416666666666674,0.8,0.1,0.1,0.8,0.1,0.1,0.8156527386880277,0.8178177094609222,13,"[19, 2, 14]"
0,1,3032,168,42,13,0.8128654970760234,0.5584795321637427,0.5964912280701754,0.8128654970760234,0.8157894736842105,0.0029239766081871066,0.0029239766081871066,0.03801169590643272,0.7,0.1,0.2,0.7,0.1,0.2,0.7717921527041357,0.7626723223753976,2,"[2, 10, 16]"
0,2,3033,168,42,13,0.7552816901408451,0.5845070422535211,0.6390845070422535,0.6971830985915493,0.7535211267605634,0.05633802816901412,-0.0017605633802817433,0.05457746478873238,0.6,0.1,0.3,0.8,0.1,0.1,0.8279918864097363,0.8197768762677485,1,"[4, 3, 7]"
0,3,3034,168,42,13,0.8706293706293706,0.6818181818181818,0.7307692307692307,0.8758741258741258,0.8601398601398601,-0.01573426573426573,-0.010489510489510523,0.04895104895104896,0.9,0.0,0.1,0.9,0.1,0.0,0.7782439623413836,0.7769136307818256,5,"[11, 17, 2]"
0,4,3035,168,42,12,0.858139534883721,0.6232558139534884,0.7348837209302326,0.8325581395348837,0.8465116279069768,0.013953488372093092,-0.011627906976744207,0.11162790697674418,0.6,0.2,0.2,0.7,0.1,0.2,0.7888588530604363,0.7845143850164125,12,"[21, 29, 9]"
1,0,3131,168,42,13,0.8333333333333334,0.6736842105263158,0.7964912280701755,0.8807017543859649,0.8596491228070176,-0.021052631578947323,0.02631578947368418,0.1228070175438597,0.7,0.0,0.3,0.8,0.0,0.2,0.797732334480664,0.7938854019032193,4,"[12, 9, 12]"
1,1,3132,168,42,13,0.8451178451178452,0.5656565656565656,0.632996632996633,0.8080808080808081,0.8181818181818182,0.010101010101010166,-0.026936026936026924,0.06734006734006737,0.6,0.0,0.4,0.6,0.1,0.3,0.8119500716185799,0.7938408021280949,6,"[4, 4, 5]"
1,2,3133,168,42,13,0.7381703470031545,0.6624605678233438,0.7791798107255521,0.7413249211356467,0.7665615141955836,0.025236593059936863,0.028391167192429068,0.11671924290220825,0.8,0.0,0.2,0.9,0.0,0.1,0.8393192733347254,0.8276258091459595,10,"[5, 3, 9]"
1,3,3134,168,42,13,0.8372434017595308,0.5483870967741935,0.6217008797653959,0.7683284457478006,0.8211143695014663,0.05278592375366575,-0.016129032258064502,0.07331378299120239,0.5,0.1,0.4,0.6,0.1,0.3,0.7966373955879203,0.8083101306489613,14,"[4, 11, 2]"
1,4,3135,168,42,12,0.6843137254901961,0.7823529411764706,0.6901960784313725,0.7215686274509804,0.6862745098039216,-0.03529411764705881,0.0019607843137254832,-0.09215686274509804,0.7,0.1,0.2,0.8,0.1,0.1,0.8204037205620424,0.8108054621017218,13,"[3, 1, 25]"
2,0,3231,168,42,13,0.8276353276353277,0.5811965811965812,0.7307692307692307,0.7891737891737892,0.7977207977207977,0.008547008547008517,-0.02991452991452992,0.14957264957264949,0.6,0.1,0.3,0.8,0.1,0.1,0.7994440880906564,0.7819114817190507,13,"[28, 4, 4]"
2,1,3232,168,42,13,0.8003802281368821,0.7452471482889734,0.8346007604562737,0.8326996197718631,0.7984790874524715,-0.034220532319391594,-0.0019011406844106071,0.08935361216730031,0.7,0.1,0.2,0.7,0.1,0.2,0.7932159810126582,0.7889636075949367,26,"[5, 4, 1]"
2,2,3233,168,42,13,0.7235915492957746,0.7235915492957746,0.6866197183098591,0.7288732394366197,0.6971830985915493,-0.03169014084507049,-0.026408450704225372,-0.0369718309859155,0.9,0.0,0.1,0.7,0.0,0.3,0.8404621933914453,0.8468477599837827,72,"[5, 10, 5]"
2,3,3234,168,42,13,0.8180428134556575,0.6559633027522935,0.6100917431192661,0.7828746177370031,0.8012232415902141,0.01834862385321101,-0.016819571865443472,-0.04587155963302747,0.6,0.1,0.3,0.7,0.1,0.2,0.820125786163522,0.8010482180293501,8,"[9, 6, 3]"
2,4,3235,168,42,12,0.7986111111111112,0.5885416666666666,0.3611111111111111,0.8055555555555556,0.7465277777777778,-0.05902777777777779,-0.05208333333333337,-0.22743055555555552,0.8,0.0,0.2,0.7,0.1,0.2,0.8173409229518195,0.8153079894287457,19,"[4, 5, 5]"
