analysis,seed,epochs,cindex
initialization,32350099,19,0.3611111111111111
initialization,32350100,19,0.3888888888888889
initialization,32350101,19,0.4236111111111111
initialization,32350102,19,0.4548611111111111
initialization,32350103,19,0.4791666666666667
initialization,32350104,19,0.4097222222222222
initialization,32350105,19,0.4548611111111111
initialization,32350106,19,0.3819444444444444
initialization,32350107,19,0.40625
initialization,32350108,19,0.4097222222222222
epochs,32350099,3,0.5451388888888888
epochs,32350099,5,0.53125
epochs,32350099,10,0.46875
epochs,32350099,19,0.3611111111111111
epochs,32350099,30,0.40625
epochs,32350099,50,0.4027777777777778
