repeat,configuration,n_all,events_all,cindex_all,n_ct,events_ct,cindex_ct,n_mr,events_mr,cindex_mr
0,mamba,214,64,0.695386961494472,190,53,0.7282344779743323,24,11,0.5135135135135135
0,attention,214,64,0.6589147286821705,190,53,0.6805411030176899,24,11,0.47297297297297297
0,ensemble_rank50,214,64,0.6963400686237133,190,53,0.7167013527575442,24,11,0.4864864864864865
0,ensemble_raw50,214,64,0.6890329139661965,190,53,0.7178286507110648,24,11,0.5
0,ensemble_z50,214,64,0.7041555470834922,190,53,0.725112729795352,24,11,0.5067567567567568
1,mamba,214,64,0.6758164951073834,190,53,0.7004856052722858,24,11,0.5675675675675675
1,attention,214,64,0.6972931757529547,190,53,0.7022199098161637,24,11,0.5945945945945946
1,ensemble_rank50,214,64,0.7100012708095057,190,53,0.7230315643426986,24,11,0.6283783783783784
1,ensemble_raw50,214,64,0.6923370186808997,190,53,0.7091571279916753,24,11,0.5878378378378378
1,ensemble_z50,214,64,0.7110179184140297,190,53,0.7249392993409642,24,11,0.6081081081081081
2,mamba,214,64,0.6891599949167619,190,53,0.6940686784599376,24,11,0.6216216216216216
2,attention,214,64,0.6690812047274114,190,53,0.6897329171002428,24,11,0.5135135135135135
2,ensemble_rank50,214,64,0.6926547210573135,190,53,0.711064862989941,24,11,0.5506756756756757
2,ensemble_raw50,214,64,0.689414156817893,190,53,0.6980575789108567,24,11,0.6013513513513513
2,ensemble_z50,214,64,0.6969119329012581,190,53,0.7131460284425946,24,11,0.5540540540540541
