model,repeat,fold,components,alpha,inner_cindex
mean,0,0,8,1.0,0.6330127355055223
moments,0,0,4,100.0,0.6238370946083474
mean,0,1,8,10.0,0.717726351662522
moments,0,1,8,1.0,0.7117776549691444
mean,0,2,8,100.0,0.6703064763599325
moments,0,2,8,1.0,0.6779961288101441
mean,0,3,8,100.0,0.7074606106050507
moments,0,3,8,100.0,0.7211073465155892
mean,0,4,8,100.0,0.6513534370113317
moments,0,4,8,10.0,0.6676152870304918
mean,1,0,8,100.0,0.6519388181526228
moments,1,0,8,100.0,0.6642223477145711
mean,1,1,8,100.0,0.6889895439456392
moments,1,1,4,10.0,0.7016525672824624
mean,1,2,8,10.0,0.6674297164979377
moments,1,2,8,100.0,0.6585857401562811
mean,1,3,8,100.0,0.6744744527588398
moments,1,3,4,100.0,0.6707345175320611
mean,1,4,8,1.0,0.5844405460001295
moments,1,4,8,1.0,0.611379825308531
mean,2,0,8,1.0,0.6619824878652326
moments,2,0,8,100.0,0.637606674915136
mean,2,1,8,10.0,0.6931887908601798
moments,2,1,8,100.0,0.7051448834627468
mean,2,2,8,10.0,0.6205197769473166
moments,2,2,8,100.0,0.6256067333582981
mean,2,3,8,100.0,0.6757807579278331
moments,2,3,8,100.0,0.6682706481646905
mean,2,4,8,100.0,0.6878364235705962
moments,2,4,8,100.0,0.6966161358087776
