model,repeat,fold,n,events,cindex
mean,0,0,43,13,0.6625386996904025
mean,0,1,43,13,0.6464646464646465
mean,0,2,43,13,0.6944444444444444
mean,0,3,43,13,0.6132930513595166
mean,0,4,42,12,0.767515923566879
mean,1,0,43,13,0.781437125748503
mean,1,1,43,13,0.5768115942028985
mean,1,2,43,13,0.7293233082706767
mean,1,3,43,13,0.604982206405694
mean,1,4,42,12,0.7125382262996942
mean,2,0,43,13,0.7129032258064516
mean,2,1,43,13,0.6633333333333333
mean,2,2,43,13,0.7075208913649025
mean,2,3,43,13,0.6991150442477876
mean,2,4,42,12,0.584070796460177
moments,0,0,43,13,0.6470588235294118
moments,0,1,43,13,0.6599326599326599
moments,0,2,43,13,0.7395833333333334
moments,0,3,43,13,0.5891238670694864
moments,0,4,42,12,0.6273885350318471
moments,1,0,43,13,0.7485029940119761
moments,1,1,43,13,0.5797101449275363
moments,1,2,43,13,0.7518796992481203
moments,1,3,43,13,0.5338078291814946
moments,1,4,42,12,0.7186544342507645
moments,2,0,43,13,0.6225806451612903
moments,2,1,43,13,0.65
moments,2,2,43,13,0.6963788300835655
moments,2,3,43,13,0.6814159292035398
moments,2,4,42,12,0.5265486725663717
