repeat,fold,split_seed,configuration,model_name,bidirectional,max_tokens,use_position,n_train,n_heldout,events_heldout,selected_epochs,inner_epochs,inner_cindex_mean,parameters,n_all,events_all,cindex_all,n_ct,events_ct,cindex_ct,n_mr,events_mr,cindex_mr
0,0,4049,mamba_unidirectional,mamba,False,64,False,171,43,13,10,"[9, 13, 10]",0.7524102004050777,319041,43,13,0.628482972136223,37,10,0.7095238095238096,6,3,0.3
0,0,4049,mamba_bidirectional,mamba_bidirectional,True,64,False,171,43,13,10,"[9, 34, 10]",0.7528905319280111,319041,43,13,0.628482972136223,37,10,0.7095238095238096,6,3,0.3
0,1,4050,mamba_unidirectional,mamba,False,64,False,171,43,13,9,"[9, 8, 11]",0.7511425808234319,319041,43,13,0.6599326599326599,39,12,0.6987951807228916,4,1,0.0
0,1,4050,mamba_bidirectional,mamba_bidirectional,True,64,False,171,43,13,11,"[11, 8, 11]",0.7530381320806853,319041,43,13,0.6464646464646465,39,12,0.6907630522088354,4,1,0.0
0,2,4051,mamba_unidirectional,mamba,False,64,False,171,43,13,22,"[4, 41, 22]",0.6890867009450417,319041,43,13,0.7708333333333334,36,9,0.8414634146341463,7,4,0.5625
0,2,4051,mamba_bidirectional,mamba_bidirectional,True,64,False,171,43,13,19,"[19, 54, 17]",0.7012754749468599,319041,43,13,0.7569444444444444,36,9,0.8414634146341463,7,4,0.5
0,3,4052,mamba_unidirectional,mamba,False,64,False,171,43,13,8,"[8, 8, 16]",0.7407025290676147,319041,43,13,0.6948640483383686,38,11,0.7109375,5,2,0.75
0,3,4052,mamba_bidirectional,mamba_bidirectional,True,64,False,171,43,13,8,"[8, 8, 17]",0.740851338591424,319041,43,13,0.7009063444108762,38,11,0.71875,5,2,0.75
0,4,4053,mamba_unidirectional,mamba,False,64,False,172,42,12,11,"[39, 10, 11]",0.7116981556455241,319041,42,12,0.7101910828025477,40,11,0.6865671641791045,2,1,1.0
0,4,4053,mamba_bidirectional,mamba_bidirectional,True,64,False,172,42,12,11,"[57, 9, 11]",0.7166104363472785,319041,42,12,0.7133757961783439,40,11,0.6865671641791045,2,1,1.0
1,0,4149,mamba_unidirectional,mamba,False,64,False,171,43,13,16,"[7, 27, 16]",0.7371751430154285,319041,43,13,0.6287425149700598,37,11,0.6958333333333333,6,2,0.2857142857142857
1,0,4149,mamba_bidirectional,mamba_bidirectional,True,64,False,171,43,13,16,"[7, 16, 40]",0.7345599463453238,319041,43,13,0.6377245508982036,37,11,0.7041666666666667,6,2,0.2857142857142857
1,1,4150,mamba_unidirectional,mamba,False,64,False,171,43,13,6,"[6, 6, 39]",0.7486234283601179,319041,43,13,0.6289855072463768,40,12,0.615916955017301,3,1,1.0
1,1,4150,mamba_bidirectional,mamba_bidirectional,True,64,False,171,43,13,6,"[6, 6, 14]",0.7434736835395347,319041,43,13,0.6289855072463768,40,12,0.615916955017301,3,1,1.0
1,2,4151,mamba_unidirectional,mamba,False,64,False,171,43,13,9,"[9, 2, 52]",0.7174300498413057,319041,43,13,0.7218045112781954,38,10,0.7794117647058824,5,3,0.2
1,2,4151,mamba_bidirectional,mamba_bidirectional,True,64,False,171,43,13,8,"[8, 2, 45]",0.7205804944169745,319041,43,13,0.7293233082706767,38,10,0.7941176470588235,5,3,0.2
1,3,4152,mamba_unidirectional,mamba,False,64,False,171,43,13,17,"[19, 17, 6]",0.7583565458267167,319041,43,13,0.7722419928825622,36,11,0.7647058823529411,7,2,0.9090909090909091
1,3,4152,mamba_bidirectional,mamba_bidirectional,True,64,False,171,43,13,9,"[18, 9, 6]",0.7545829609210563,319041,43,13,0.6441281138790036,36,11,0.6417112299465241,7,2,0.7272727272727273
1,4,4153,mamba_unidirectional,mamba,False,64,False,172,42,12,8,"[1, 19, 8]",0.7026315104474071,319041,42,12,0.8165137614678899,39,9,0.8288288288288288,3,3,0.6666666666666666
1,4,4153,mamba_bidirectional,mamba_bidirectional,True,64,False,172,42,12,9,"[1, 20, 9]",0.7048117335909696,319041,42,12,0.8256880733944955,39,9,0.8243243243243243,3,3,0.6666666666666666
2,0,4249,mamba_unidirectional,mamba,False,64,False,171,43,13,16,"[16, 27, 6]",0.7233696054482198,319041,43,13,0.6870967741935484,39,12,0.6892430278884463,4,1,1.0
2,0,4249,mamba_bidirectional,mamba_bidirectional,True,64,False,171,43,13,24,"[24, 29, 5]",0.7299334834977741,319041,43,13,0.7064516129032258,39,12,0.7171314741035857,4,1,1.0
