model,repeat,fold,n,events,cindex
frozen,0,0,15,4,0.6363636363636364
frozen,0,1,15,4,0.9444444444444444
frozen,0,2,15,4,0.7931034482758621
frozen,0,3,15,4,0.8064516129032258
frozen,0,4,15,4,0.7333333333333333
frozen,1,0,15,4,0.7142857142857143
frozen,1,1,15,4,0.6296296296296297
frozen,1,2,15,4,0.5925925925925926
frozen,1,3,15,4,0.875
frozen,1,4,15,4,0.8928571428571429
frozen,2,0,15,4,0.875
frozen,2,1,15,4,1.0
frozen,2,2,15,4,0.45454545454545453
frozen,2,3,15,4,0.696969696969697
frozen,2,4,15,4,0.5666666666666667
adapted,0,0,15,4,0.6363636363636364
adapted,0,1,15,4,0.8888888888888888
adapted,0,2,15,4,0.7586206896551724
adapted,0,3,15,4,0.8709677419354839
adapted,0,4,15,4,0.7666666666666667
adapted,1,0,15,4,0.6785714285714286
adapted,1,1,15,4,0.6666666666666666
adapted,1,2,15,4,0.5925925925925926
adapted,1,3,15,4,0.90625
adapted,1,4,15,4,0.8928571428571429
adapted,2,0,15,4,0.8125
adapted,2,1,15,4,0.9166666666666666
adapted,2,2,15,4,0.6363636363636364
adapted,2,3,15,4,0.7272727272727273
adapted,2,4,15,4,0.5666666666666667
