model,repeat,fold,n,events,cindex
frozen,0,0,15,4,0.6666666666666666
frozen,0,1,15,4,0.8888888888888888
frozen,0,2,15,4,0.7931034482758621
frozen,0,3,15,4,0.7419354838709677
frozen,0,4,15,4,0.7333333333333333
frozen,1,0,15,4,0.5357142857142857
frozen,1,1,15,4,0.48148148148148145
frozen,1,2,15,4,0.5925925925925926
frozen,1,3,15,4,0.65625
frozen,1,4,15,4,0.75
frozen,2,0,15,4,0.875
frozen,2,1,15,4,0.9166666666666666
frozen,2,2,15,4,0.2727272727272727
frozen,2,3,15,4,0.7272727272727273
frozen,2,4,15,4,0.5666666666666667
adapted,0,0,15,4,0.6363636363636364
adapted,0,1,15,4,0.8888888888888888
adapted,0,2,15,4,0.7931034482758621
adapted,0,3,15,4,0.8064516129032258
adapted,0,4,15,4,0.7666666666666667
adapted,1,0,15,4,0.6071428571428571
adapted,1,1,15,4,0.6296296296296297
adapted,1,2,15,4,0.5185185185185185
adapted,1,3,15,4,0.6875
adapted,1,4,15,4,0.8571428571428571
adapted,2,0,15,4,0.84375
adapted,2,1,15,4,0.9583333333333334
adapted,2,2,15,4,0.45454545454545453
adapted,2,3,15,4,0.7272727272727273
adapted,2,4,15,4,0.5666666666666667
