repeat,fold,model,epochs,inner_epochs,inner_cindex,parameters,reused_control
0,0,full,12,"[8, 12, 12]",0.9061986863711002,319041,True
0,0,renal_crop,1,"[3, 1, 1]",0.7825633515288688,319041,True
0,1,full,6,"[6, 3, 6]",0.8922565960609439,319041,True
0,1,renal_crop,13,"[20, 9, 13]",0.8086770717205499,319041,True
0,2,full,17,"[10, 23, 17]",0.8427888718211299,319041,True
0,2,renal_crop,3,"[3, 1, 12]",0.8008192524321557,319041,True
0,3,full,8,"[2, 8, 19]",0.847629299946929,319041,True
0,3,renal_crop,1,"[1, 3, 1]",0.7764298982004149,319041,True
0,4,full,11,"[4, 11, 36]",0.8812210777728019,319041,True
0,4,renal_crop,5,"[4, 13, 5]",0.8678509230233368,319041,True
1,0,full,14,"[15, 9, 14]",0.8579730567457814,319041,True
1,0,renal_crop,8,"[6, 14, 8]",0.9061710593510788,319041,True
1,1,full,1,"[3, 1, 1]",0.8538171342698396,319041,True
1,1,renal_crop,10,"[14, 10, 2]",0.7843279488119475,319041,True
1,2,full,7,"[7, 13, 1]",0.8538651824366109,319041,True
1,2,renal_crop,2,"[2, 7, 1]",0.7904143475572049,319041,True
1,3,full,7,"[8, 7, 1]",0.9090703958229792,319041,True
1,3,renal_crop,1,"[1, 7, 1]",0.7863532758650237,319041,True
1,4,full,11,"[18, 11, 2]",0.8335117534234356,319041,True
1,4,renal_crop,9,"[9, 9, 2]",0.7831972880146304,319041,True
2,0,full,4,"[3, 14, 4]",0.8275216706067771,319041,True
2,0,renal_crop,2,"[2, 2, 7]",0.7282555161544524,319041,True
2,1,full,13,"[3, 21, 13]",0.8261352999803901,319041,True
2,1,renal_crop,15,"[3, 15, 29]",0.8226520219387888,319041,True
2,2,full,8,"[8, 3, 20]",0.8682353538430297,319041,True
2,2,renal_crop,6,"[6, 1, 17]",0.8292270984168639,319041,True
2,3,full,3,"[7, 3, 2]",0.8300073909830008,319041,True
2,3,renal_crop,4,"[6, 2, 4]",0.8017738359201774,319041,True
2,4,full,2,"[26, 2, 1]",0.8890937019969277,319041,True
2,4,renal_crop,7,"[6, 20, 7]",0.8899869147180975,319041,True
0,0,renal_letterbox,4,"[4, 2, 16]",0.7760839657391382,319041,False
0,1,renal_letterbox,2,"[8, 1, 2]",0.8143766257896692,319041,False
0,2,renal_letterbox,23,"[23, 1, 23]",0.7783410138248849,319041,False
0,3,renal_letterbox,2,"[5, 2, 2]",0.7276589713899745,319041,False
0,4,renal_letterbox,9,"[26, 8, 9]",0.8626113350251282,319041,False
1,0,renal_letterbox,5,"[5, 10, 4]",0.892565617174208,319041,False
1,1,renal_letterbox,15,"[20, 15, 3]",0.8319566534328598,319041,False
1,2,renal_letterbox,3,"[3, 11, 3]",0.8142238713667286,319041,False
1,3,renal_letterbox,1,"[1, 2, 1]",0.7713549610689334,319041,False
1,4,renal_letterbox,10,"[5, 10, 37]",0.8044738837593113,319041,False
2,0,renal_letterbox,8,"[1, 22, 8]",0.7255220646178092,319041,False
2,1,renal_letterbox,18,"[4, 22, 18]",0.74899979581481,319041,False
2,2,renal_letterbox,5,"[5, 2, 17]",0.841770347633887,319041,False
2,3,renal_letterbox,1,"[6, 1, 1]",0.7713229859571323,319041,False
2,4,renal_letterbox,9,"[9, 17, 2]",0.9197872219377595,319041,False
