model,repeat,fold,pca_dim,penalizer,inner_cindex,weight_tabular,weight_other
tabular,0,0,,100.0,0.7559135490169973,,
full,0,0,8.0,100.0,0.8586462077841389,,
full_moments,0,0,8.0,1.0,0.8516786490924422,,
tabular_full,0,0,,,0.8505376344086022,0.4,0.6
tabular_full_moments,0,0,,,0.8344086021505376,0.3,0.7
tabular,0,1,,1.0,0.7850822185061315,,
full,0,1,8.0,0.1,0.8463721664808621,,
full_moments,0,1,8.0,0.1,0.8643371423262728,,
tabular_full,0,1,,,0.8478682170542635,0.3,0.7
tabular_full_moments,0,1,,,0.8585271317829457,0.2,0.8
tabular,0,2,,0.1,0.8010496671786994,,
full,0,2,8.0,1.0,0.819252432155658,,
full_moments,0,2,8.0,100.0,0.8360471070148489,,
tabular_full,0,2,,,0.8586278586278586,0.5,0.5
tabular_full_moments,0,2,,,0.8638253638253638,0.5,0.5
tabular,0,3,,100.0,0.7258467216673904,,
full,0,3,8.0,0.1,0.7375660370531191,,
full_moments,0,3,4.0,1.0,0.7957344285231823,,
tabular_full,0,3,,,0.7878787878787878,0.5,0.5
tabular_full_moments,0,3,,,0.7867965367965368,0.7,0.3
tabular,0,4,,100.0,0.6756282032144102,,
full,0,4,8.0,0.1,0.7233716475095786,,
full_moments,0,4,8.0,0.1,0.7764442454097625,,
tabular_full,0,4,,,0.7808510638297872,0.3,0.7
tabular_full_moments,0,4,,,0.8074468085106383,0.0,1.0
tabular,1,0,,10.0,0.5406360858273458,,
full,1,0,4.0,0.1,0.7383437517921662,,
full_moments,1,0,4.0,0.1,0.7642697384051975,,
tabular_full,1,0,,,0.7211740041928721,0.1,0.9
tabular_full_moments,1,0,,,0.7672955974842768,0.0,1.0
tabular,1,1,,0.1,0.7413661760538296,,
full,1,1,8.0,10.0,0.7924580301127605,,
full_moments,1,1,8.0,1.0,0.8198655299632626,,
tabular_full,1,1,,,0.8429158110882957,0.3,0.7
tabular_full_moments,1,1,,,0.837782340862423,0.3,0.7
tabular,1,2,,10.0,0.659230055658627,,
full,1,2,8.0,100.0,0.8368119975262833,,
full_moments,1,2,8.0,0.1,0.8573593073593074,,
tabular_full,1,2,,,0.8247950819672131,0.2,0.8
tabular_full_moments,1,2,,,0.8504098360655737,0.2,0.8
tabular,1,3,,100.0,0.8261997794953527,,
full,1,3,8.0,1.0,0.8416279641023005,,
full_moments,1,3,8.0,0.1,0.8355340953882539,,
tabular_full,1,3,,,0.8347826086956521,0.6,0.4
tabular_full_moments,1,3,,,0.8347826086956521,0.5,0.5
tabular,1,4,,1.0,0.7575025647887953,,
full,1,4,8.0,100.0,0.7737287568580222,,
full_moments,1,4,8.0,0.1,0.7415138944645167,,
tabular_full,1,4,,,0.8271221532091098,0.2,0.8
tabular_full_moments,1,4,,,0.8209109730848861,0.5,0.5
tabular,2,0,,0.1,0.6914339539007092,,
full,2,0,8.0,10.0,0.7841496749408984,,
full_moments,2,0,8.0,10.0,0.7751120468873128,,
tabular_full,2,0,,,0.826710816777042,0.2,0.8
tabular_full_moments,2,0,,,0.7935982339955849,0.0,1.0
tabular,2,1,,1.0,0.7225820733489808,,
full,2,1,8.0,0.1,0.8165133256106856,,
full_moments,2,1,8.0,0.1,0.8131756053282228,,
tabular_full,2,1,,,0.8058350100603622,0.5,0.5
tabular_full_moments,2,1,,,0.8078470824949698,0.3,0.7
tabular,2,2,,0.1,0.7678698345009645,,
full,2,2,8.0,0.1,0.8280038192085101,,
full_moments,2,2,8.0,0.1,0.8344140756187665,,
tabular_full,2,2,,,0.8464566929133859,0.3,0.7
tabular_full_moments,2,2,,,0.8494094488188977,0.2,0.8
tabular,2,3,,100.0,0.6914264597191426,,
full,2,3,4.0,0.1,0.7450110864745012,,
full_moments,2,3,8.0,0.1,0.7976348854397636,,
tabular_full,2,3,,,0.7738095238095238,0.3,0.7
tabular_full_moments,2,3,,,0.7846320346320347,0.2,0.8
tabular,2,4,,100.0,0.8379359390112078,,
full,2,4,8.0,0.1,0.8622119815668202,,
full_moments,2,4,8.0,100.0,0.8816919838425213,,
tabular_full,2,4,,,0.8860759493670886,0.4,0.6
tabular_full_moments,2,4,,,0.8850210970464135,0.2,0.8
