model,repeat,fold,n,events,cindex
tabular,0,0,15,4,0.8484848484848485
tabular,0,1,15,4,0.7777777777777778
tabular,0,2,15,4,0.43103448275862066
tabular,0,3,15,4,0.7096774193548387
tabular,0,4,15,4,0.9
tabular,1,0,15,4,0.9464285714285714
tabular,1,1,15,4,0.6666666666666666
tabular,1,2,15,4,0.7407407407407407
tabular,1,3,15,4,0.578125
tabular,1,4,15,4,0.7857142857142857
tabular,2,0,15,4,0.84375
tabular,2,1,15,4,0.6875
tabular,2,2,15,4,0.6136363636363636
tabular,2,3,15,4,0.8484848484848485
tabular,2,4,15,4,0.6
full,0,0,15,4,0.803030303030303
full,0,1,15,4,0.8333333333333334
full,0,2,15,4,0.7931034482758621
full,0,3,15,4,0.7580645161290323
full,0,4,15,4,0.8833333333333333
full,1,0,15,4,0.8214285714285714
full,1,1,15,4,0.6851851851851852
full,1,2,15,4,0.9444444444444444
full,1,3,15,4,0.78125
full,1,4,15,4,0.7678571428571429
full,2,0,15,4,0.734375
full,2,1,15,4,0.8958333333333334
full,2,2,15,4,0.6363636363636364
full,2,3,15,4,0.7727272727272727
full,2,4,15,4,0.6166666666666667
full_moments,0,0,15,4,0.8939393939393939
full_moments,0,1,15,4,0.8888888888888888
full_moments,0,2,15,4,0.8620689655172413
full_moments,0,3,15,4,0.7096774193548387
full_moments,0,4,15,4,0.8
full_moments,1,0,15,4,0.8214285714285714
full_moments,1,1,15,4,0.7222222222222222
full_moments,1,2,15,4,0.8333333333333334
full_moments,1,3,15,4,0.890625
full_moments,1,4,15,4,0.9107142857142857
full_moments,2,0,15,4,0.796875
full_moments,2,1,15,4,0.875
full_moments,2,2,15,4,0.7045454545454546
full_moments,2,3,15,4,0.9545454545454546
full_moments,2,4,15,4,0.5
tabular_full,0,0,15,4,0.8484848484848485
tabular_full,0,1,15,4,0.9444444444444444
tabular_full,0,2,15,4,0.8275862068965517
tabular_full,0,3,15,4,0.8064516129032258
tabular_full,0,4,15,4,0.9333333333333333
tabular_full,1,0,15,4,0.8571428571428571
tabular_full,1,1,15,4,0.6666666666666666
tabular_full,1,2,15,4,0.8888888888888888
tabular_full,1,3,15,4,0.75
tabular_full,1,4,15,4,0.7857142857142857
tabular_full,2,0,15,4,0.78125
tabular_full,2,1,15,4,0.8333333333333334
tabular_full,2,2,15,4,0.6818181818181818
tabular_full,2,3,15,4,0.8484848484848485
tabular_full,2,4,15,4,0.6166666666666667
tabular_full_moments,0,0,15,4,0.9090909090909091
tabular_full_moments,0,1,15,4,0.9444444444444444
tabular_full_moments,0,2,15,4,0.8448275862068966
tabular_full_moments,0,3,15,4,0.6774193548387096
tabular_full_moments,0,4,15,4,0.8
tabular_full_moments,1,0,15,4,0.8214285714285714
tabular_full_moments,1,1,15,4,0.6666666666666666
tabular_full_moments,1,2,15,4,0.8888888888888888
tabular_full_moments,1,3,15,4,0.78125
tabular_full_moments,1,4,15,4,0.8571428571428571
tabular_full_moments,2,0,15,4,0.796875
tabular_full_moments,2,1,15,4,0.8333333333333334
tabular_full_moments,2,2,15,4,0.6818181818181818
tabular_full_moments,2,3,15,4,0.9696969696969697
tabular_full_moments,2,4,15,4,0.5333333333333333
