model,repeat,mean_fold_cindex
full,0,0.8141729868203728
full,1,0.8000330687830688
full,2,0.7311931818181818
full_moments,0,0.8309149335400725
full_moments,1,0.8356646825396826
full_moments,2,0.7661931818181819
tabular,0,0.7333949056752171
tabular,1,0.7435350529100528
tabular,2,0.7186742424242424
tabular_full,0,0.8720600892124807
tabular_full,1,0.7896825396825397
tabular_full,2,0.7523106060606061
tabular_full_moments,0,0.835156458916192
tabular_full_moments,1,0.8030753968253969
tabular_full_moments,2,0.7630113636363636
