model,repeat,fold,pca_dim,penalizer,inner_cindex,weight_tabular,weight_other
tabular,0,0,,100.0,0.7559135490169973,,
full,0,0,8.0,100.0,0.8586462077841389,,
radiomics,0,0,8.0,10.0,0.7253750055474194,,
tabular_full,0,0,,,0.8505376344086022,0.4,0.6
tabular_radiomics,0,0,,,0.8247311827956989,0.5,0.5
tabular,0,1,,1.0,0.7850822185061315,,
full,0,1,8.0,0.1,0.8463721664808621,,
radiomics,0,1,8.0,0.1,0.6770252694165738,,
tabular_full,0,1,,,0.8478682170542635,0.3,0.7
tabular_radiomics,0,1,,,0.7965116279069767,0.8,0.2
tabular,0,2,,0.1,0.8010496671786994,,
full,0,2,8.0,1.0,0.819252432155658,,
radiomics,0,2,8.0,100.0,0.7610001706775901,,
tabular_full,0,2,,,0.8586278586278586,0.5,0.5
tabular_radiomics,0,2,,,0.8128898128898129,0.8,0.2
tabular,0,3,,100.0,0.7258467216673904,,
full,0,3,8.0,0.1,0.7375660370531191,,
radiomics,0,3,8.0,0.1,0.5938072924205143,,
tabular_full,0,3,,,0.7878787878787878,0.5,0.5
tabular_radiomics,0,3,,,0.7218614718614719,0.7,0.3
tabular,0,4,,100.0,0.6756282032144102,,
full,0,4,8.0,0.1,0.7233716475095786,,
radiomics,0,4,8.0,10.0,0.6936134746479574,,
tabular_full,0,4,,,0.7808510638297872,0.3,0.7
tabular_radiomics,0,4,,,0.7382978723404255,0.4,0.6
tabular,1,0,,10.0,0.5406360858273458,,
full,1,0,4.0,0.1,0.7383437517921662,,
radiomics,1,0,8.0,100.0,0.7010735245523341,,
tabular_full,1,0,,,0.7211740041928721,0.1,0.9
tabular_radiomics,1,0,,,0.7589098532494759,0.1,0.9
tabular,1,1,,0.1,0.7413661760538296,,
full,1,1,8.0,10.0,0.7924580301127605,,
radiomics,1,1,8.0,100.0,0.7276201767454196,,
tabular_full,1,1,,,0.8429158110882957,0.3,0.7
tabular_radiomics,1,1,,,0.7885010266940452,0.5,0.5
tabular,1,2,,10.0,0.659230055658627,,
full,1,2,8.0,100.0,0.8368119975262833,,
radiomics,1,2,8.0,100.0,0.7219542362399505,,
tabular_full,1,2,,,0.8247950819672131,0.2,0.8
tabular_radiomics,1,2,,,0.7551229508196722,0.4,0.6
tabular,1,3,,100.0,0.8261997794953527,,
full,1,3,8.0,1.0,0.8416279641023005,,
radiomics,1,3,4.0,10.0,0.738205000771195,,
tabular_full,1,3,,,0.8347826086956521,0.6,0.4
tabular_radiomics,1,3,,,0.8195652173913044,0.8,0.2
tabular,1,4,,1.0,0.7575025647887953,,
full,1,4,8.0,100.0,0.7737287568580222,,
radiomics,1,4,8.0,100.0,0.5919231455461885,,
tabular_full,1,4,,,0.8271221532091098,0.2,0.8
tabular_radiomics,1,4,,,0.7763975155279503,0.9,0.1
tabular,2,0,,0.1,0.6914339539007092,,
full,2,0,8.0,10.0,0.7841496749408984,,
radiomics,2,0,4.0,0.1,0.7236751379038613,,
tabular_full,2,0,,,0.826710816777042,0.2,0.8
tabular_radiomics,2,0,,,0.7052980132450332,0.5,0.5
tabular,2,1,,1.0,0.7225820733489808,,
full,2,1,8.0,0.1,0.8165133256106856,,
radiomics,2,1,8.0,0.1,0.5440949036589581,,
tabular_full,2,1,,,0.8058350100603622,0.5,0.5
tabular_radiomics,2,1,,,0.7203219315895373,1.0,0.0
tabular,2,2,,0.1,0.7678698345009645,,
full,2,2,8.0,0.1,0.8280038192085101,,
radiomics,2,2,8.0,100.0,0.6200102314174809,,
tabular_full,2,2,,,0.8464566929133859,0.3,0.7
tabular_radiomics,2,2,,,0.7755905511811023,0.6,0.4
tabular,2,3,,100.0,0.6914264597191426,,
full,2,3,4.0,0.1,0.7450110864745012,,
radiomics,2,3,8.0,100.0,0.761049519586105,,
tabular_full,2,3,,,0.7738095238095238,0.3,0.7
tabular_radiomics,2,3,,,0.6893939393939394,0.2,0.8
tabular,2,4,,100.0,0.8379359390112078,,
full,2,4,8.0,0.1,0.8622119815668202,,
radiomics,2,4,8.0,100.0,0.6809893610968879,,
tabular_full,2,4,,,0.8860759493670886,0.4,0.6
tabular_radiomics,2,4,,,0.8364978902953587,0.8,0.2
