model,repeat,fold,n,events,cindex
tabular,0,0,15,4,0.8484848484848485
tabular,0,1,15,4,0.7777777777777778
tabular,0,2,15,4,0.43103448275862066
tabular,0,3,15,4,0.7096774193548387
tabular,0,4,15,4,0.9
tabular,1,0,15,4,0.9464285714285714
tabular,1,1,15,4,0.6666666666666666
tabular,1,2,15,4,0.7407407407407407
tabular,1,3,15,4,0.578125
tabular,1,4,15,4,0.7857142857142857
tabular,2,0,15,4,0.84375
tabular,2,1,15,4,0.6875
tabular,2,2,15,4,0.6136363636363636
tabular,2,3,15,4,0.8484848484848485
tabular,2,4,15,4,0.6
full,0,0,15,4,0.803030303030303
full,0,1,15,4,0.8333333333333334
full,0,2,15,4,0.7931034482758621
full,0,3,15,4,0.7580645161290323
full,0,4,15,4,0.8833333333333333
full,1,0,15,4,0.8214285714285714
full,1,1,15,4,0.6851851851851852
full,1,2,15,4,0.9444444444444444
full,1,3,15,4,0.78125
full,1,4,15,4,0.7678571428571429
full,2,0,15,4,0.734375
full,2,1,15,4,0.8958333333333334
full,2,2,15,4,0.6363636363636364
full,2,3,15,4,0.7727272727272727
full,2,4,15,4,0.6166666666666667
radiomics,0,0,15,4,0.5909090909090909
radiomics,0,1,15,4,0.6666666666666666
radiomics,0,2,15,4,0.6724137931034483
radiomics,0,3,15,4,0.7741935483870968
radiomics,0,4,15,4,0.6
radiomics,1,0,15,4,0.5892857142857143
radiomics,1,1,15,4,0.4444444444444444
radiomics,1,2,15,4,0.7592592592592593
radiomics,1,3,15,4,0.5625
radiomics,1,4,15,4,0.8392857142857143
radiomics,2,0,15,4,0.53125
radiomics,2,1,15,4,0.875
radiomics,2,2,15,4,0.6590909090909091
radiomics,2,3,15,4,0.8787878787878788
radiomics,2,4,15,4,0.5333333333333333
tabular_full,0,0,15,4,0.8484848484848485
tabular_full,0,1,15,4,0.9444444444444444
tabular_full,0,2,15,4,0.8275862068965517
tabular_full,0,3,15,4,0.8064516129032258
tabular_full,0,4,15,4,0.9333333333333333
tabular_full,1,0,15,4,0.8571428571428571
tabular_full,1,1,15,4,0.6666666666666666
tabular_full,1,2,15,4,0.8888888888888888
tabular_full,1,3,15,4,0.75
tabular_full,1,4,15,4,0.7857142857142857
tabular_full,2,0,15,4,0.78125
tabular_full,2,1,15,4,0.8333333333333334
tabular_full,2,2,15,4,0.6818181818181818
tabular_full,2,3,15,4,0.8484848484848485
tabular_full,2,4,15,4,0.6166666666666667
tabular_radiomics,0,0,15,4,0.7878787878787878
tabular_radiomics,0,1,15,4,0.8333333333333334
tabular_radiomics,0,2,15,4,0.5172413793103449
tabular_radiomics,0,3,15,4,0.7419354838709677
tabular_radiomics,0,4,15,4,0.7666666666666667
tabular_radiomics,1,0,15,4,0.6428571428571429
tabular_radiomics,1,1,15,4,0.6666666666666666
tabular_radiomics,1,2,15,4,0.9629629629629629
tabular_radiomics,1,3,15,4,0.53125
tabular_radiomics,1,4,15,4,0.8214285714285714
tabular_radiomics,2,0,15,4,0.84375
tabular_radiomics,2,1,15,4,0.6875
tabular_radiomics,2,2,15,4,0.6818181818181818
tabular_radiomics,2,3,15,4,0.9393939393939394
tabular_radiomics,2,4,15,4,0.6333333333333333
