model,repeat,mean_fold_cindex
full,0,0.8141729868203728
full,1,0.8000330687830688
full,2,0.7311931818181818
radiomics,0,0.6608366198132606
radiomics,1,0.6389550264550264
radiomics,2,0.6954924242424243
tabular,0,0.7333949056752171
tabular,1,0.7435350529100528
tabular,2,0.7186742424242424
tabular_full,0,0.8720600892124807
tabular_full,1,0.7896825396825397
tabular_full,2,0.7523106060606061
tabular_radiomics,0,0.7294111302120201
tabular_radiomics,1,0.7250330687830687
tabular_radiomics,2,0.7571590909090908
