model,repeat,fold,components,alpha,inner_cindex
full,0,0,8,100.0,0.855772644565748
renal_crop,0,0,8,10.0,0.7906348466693295
full_moments,0,0,8,10.0,0.8502307726445656
renal_crop_moments,0,0,8,1.0,0.7672358318910044
full,0,1,8,10.0,0.8463721664808621
renal_crop,0,1,4,1.0,0.7552257525083612
full_moments,0,1,8,100.0,0.8629830917874396
renal_crop_moments,0,1,4,1.0,0.7274479747305834
full,0,2,8,100.0,0.8165215907151392
renal_crop,0,2,4,1.0,0.7367298173749787
full_moments,0,2,4,1.0,0.8223416965352449
renal_crop_moments,0,2,4,100.0,0.7314388120839733
full,0,3,8,1.0,0.7655714768176773
renal_crop,0,3,4,100.0,0.6736744343127322
full_moments,0,3,8,1.0,0.7995790514787475
renal_crop_moments,0,3,4,100.0,0.6593483137936026
full,0,4,8,1.0,0.7436433298502264
renal_crop,0,4,8,100.0,0.7416430312982039
full_moments,0,4,8,10.0,0.7789471065333134
renal_crop_moments,0,4,8,10.0,0.7473901577349853
full,1,0,4,1.0,0.7716186434429252
renal_crop,1,0,4,100.0,0.7858030406060458
full_moments,1,0,4,1.0,0.7847106727074612
renal_crop_moments,1,0,8,10.0,0.7708157530374655
full,1,1,8,100.0,0.7811585950845118
renal_crop,1,1,4,10.0,0.7125663965306105
full_moments,1,1,8,1.0,0.8141911128097529
renal_crop_moments,1,1,4,10.0,0.7150467603172993
full,1,2,8,100.0,0.8367656153370439
renal_crop,1,2,8,100.0,0.8079158936301795
full_moments,1,2,8,10.0,0.860760667903525
renal_crop_moments,1,2,8,100.0,0.8039270253555969
full,1,3,8,10.0,0.8550296196009208
renal_crop,1,3,4,100.0,0.7805521756268102
full_moments,1,3,8,1.0,0.8429932648969168
renal_crop_moments,1,3,4,100.0,0.7784499551564384
full,1,4,8,100.0,0.764260225701414
renal_crop,1,4,4,1.0,0.7797738525357955
full_moments,1,4,8,1.0,0.7565034122842231
renal_crop_moments,1,4,4,100.0,0.7496565413265532
full,2,0,8,100.0,0.7872586682427108
renal_crop,2,0,4,1.0,0.6867242907801417
full_moments,2,0,8,1.0,0.7710672773837667
renal_crop_moments,2,0,4,10.0,0.6857146375098502
full,2,1,8,10.0,0.8309993550982616
renal_crop,2,1,4,100.0,0.7213458432140771
full_moments,2,1,8,100.0,0.8149596986954385
renal_crop_moments,2,1,4,10.0,0.7297780850663805
full,2,2,8,10.0,0.8247986910033819
renal_crop,2,2,4,1.0,0.7463819052305194
full_moments,2,2,8,10.0,0.8262338230355287
renal_crop_moments,2,2,4,1.0,0.7178510899193201
full,2,3,4,1.0,0.7450110864745012
renal_crop,2,3,4,10.0,0.7592017738359202
full_moments,2,3,8,10.0,0.7915742793791575
renal_crop_moments,2,3,4,100.0,0.7652623798965262
full,2,4,8,100.0,0.8667918302326904
renal_crop,2,4,4,1.0,0.8627410820959208
full_moments,2,4,8,100.0,0.8709392956704783
renal_crop_moments,2,4,4,10.0,0.8627410820959208
