model,repeat,fold,n,events,cindex
full,0,0,15,4,0.8181818181818182
full,0,1,15,4,0.8333333333333334
full,0,2,15,4,0.7931034482758621
full,0,3,15,4,0.7741935483870968
full,0,4,15,4,0.8333333333333334
full,1,0,15,4,0.8214285714285714
full,1,1,15,4,0.6666666666666666
full,1,2,15,4,0.9259259259259259
full,1,3,15,4,0.78125
full,1,4,15,4,0.7857142857142857
full,2,0,15,4,0.75
full,2,1,15,4,0.875
full,2,2,15,4,0.6363636363636364
full,2,3,15,4,0.8484848484848485
full,2,4,15,4,0.6
renal_crop,0,0,15,4,0.5757575757575758
renal_crop,0,1,15,4,0.8333333333333334
renal_crop,0,2,15,4,0.6551724137931034
renal_crop,0,3,15,4,0.8387096774193549
renal_crop,0,4,15,4,0.7666666666666667
renal_crop,1,0,15,4,0.6428571428571429
renal_crop,1,1,15,4,0.6666666666666666
renal_crop,1,2,15,4,0.6666666666666666
renal_crop,1,3,15,4,0.65625
renal_crop,1,4,15,4,0.9285714285714286
renal_crop,2,0,15,4,0.8125
renal_crop,2,1,15,4,0.9166666666666666
renal_crop,2,2,15,4,0.8636363636363636
renal_crop,2,3,15,4,0.7575757575757576
renal_crop,2,4,15,4,0.43333333333333335
full_moments,0,0,15,4,0.8787878787878788
full_moments,0,1,15,4,0.8888888888888888
full_moments,0,2,15,4,0.7586206896551724
full_moments,0,3,15,4,0.6774193548387096
full_moments,0,4,15,4,0.8
full_moments,1,0,15,4,0.8214285714285714
full_moments,1,1,15,4,0.6296296296296297
full_moments,1,2,15,4,0.8148148148148148
full_moments,1,3,15,4,0.875
full_moments,1,4,15,4,0.9285714285714286
full_moments,2,0,15,4,0.84375
full_moments,2,1,15,4,0.875
full_moments,2,2,15,4,0.7272727272727273
full_moments,2,3,15,4,0.9696969696969697
full_moments,2,4,15,4,0.5
renal_crop_moments,0,0,15,4,0.5454545454545454
renal_crop_moments,0,1,15,4,0.7777777777777778
renal_crop_moments,0,2,15,4,0.7241379310344828
renal_crop_moments,0,3,15,4,0.8387096774193549
renal_crop_moments,0,4,15,4,0.6666666666666666
renal_crop_moments,1,0,15,4,0.75
renal_crop_moments,1,1,15,4,0.6666666666666666
renal_crop_moments,1,2,15,4,0.7037037037037037
renal_crop_moments,1,3,15,4,0.6875
renal_crop_moments,1,4,15,4,0.9285714285714286
renal_crop_moments,2,0,15,4,0.78125
renal_crop_moments,2,1,15,4,0.8333333333333334
renal_crop_moments,2,2,15,4,0.8181818181818182
renal_crop_moments,2,3,15,4,0.6060606060606061
renal_crop_moments,2,4,15,4,0.4666666666666667
