model,repeat,fold,n,events,cindex
full_adapted,0,0,15,4,0.8484848484848485
full_adapted,0,1,15,4,0.8888888888888888
full_adapted,0,2,15,4,0.7931034482758621
full_adapted,0,3,15,4,0.8064516129032258
full_adapted,0,4,15,4,0.9
full_adapted,1,0,15,4,0.8214285714285714
full_adapted,1,1,15,4,0.5185185185185185
full_adapted,1,2,15,4,0.7777777777777778
full_adapted,1,3,15,4,0.875
full_adapted,1,4,15,4,0.8571428571428571
full_adapted,2,0,15,4,0.875
full_adapted,2,1,15,4,0.7916666666666666
full_adapted,2,2,15,4,0.6363636363636364
full_adapted,2,3,15,4,0.9090909090909091
full_adapted,2,4,15,4,0.6
full_mamba,0,0,15,4,0.7575757575757576
full_mamba,0,1,15,4,0.8888888888888888
full_mamba,0,2,15,4,0.896551724137931
full_mamba,0,3,15,4,0.9032258064516129
full_mamba,0,4,15,4,0.8666666666666667
full_mamba,1,0,15,4,0.7857142857142857
full_mamba,1,1,15,4,0.7777777777777778
full_mamba,1,2,15,4,0.8518518518518519
full_mamba,1,3,15,4,0.8125
full_mamba,1,4,15,4,0.8928571428571429
full_mamba,2,0,15,4,0.8125
full_mamba,2,1,15,4,0.9583333333333334
full_mamba,2,2,15,4,0.7272727272727273
full_mamba,2,3,15,4,0.8484848484848485
full_mamba,2,4,15,4,0.5
full_cox,0,0,15,4,0.8181818181818182
full_cox,0,1,15,4,0.8333333333333334
full_cox,0,2,15,4,0.7931034482758621
full_cox,0,3,15,4,0.7741935483870968
full_cox,0,4,15,4,0.8333333333333334
full_cox,1,0,15,4,0.8214285714285714
full_cox,1,1,15,4,0.6666666666666666
full_cox,1,2,15,4,0.9259259259259259
full_cox,1,3,15,4,0.78125
full_cox,1,4,15,4,0.7857142857142857
full_cox,2,0,15,4,0.75
full_cox,2,1,15,4,0.875
full_cox,2,2,15,4,0.6363636363636364
full_cox,2,3,15,4,0.8484848484848485
full_cox,2,4,15,4,0.6
