repeat,fold,model,components,alpha,inner_cindex
0,0,full,8,100.0,0.855772644565748
0,0,renal_slices,4,100.0,0.7790962144410419
0,0,renal_crop,8,10.0,0.7906348466693295
0,0,radiomics,8,100.0,0.7210535658811521
0,1,full,8,10.0,0.8463721664808621
0,1,renal_slices,4,100.0,0.7911742846525455
0,1,renal_crop,4,1.0,0.7552257525083612
0,1,radiomics,8,1.0,0.7138470828688219
0,2,full,8,100.0,0.8165215907151392
0,2,renal_slices,4,100.0,0.8451783580815838
0,2,renal_crop,4,1.0,0.7367298173749787
0,2,radiomics,8,100.0,0.7477726574500768
0,3,full,8,1.0,0.7655714768176773
0,3,renal_slices,8,1.0,0.7719429970569788
0,3,renal_crop,4,100.0,0.6736744343127322
0,3,radiomics,8,1.0,0.6532903941718531
0,4,full,8,1.0,0.7436433298502264
0,4,renal_slices,4,10.0,0.7576354679802956
0,4,renal_crop,8,100.0,0.7416430312982039
0,4,radiomics,8,100.0,0.6835846146190975
1,0,full,4,1.0,0.7716186434429252
1,0,renal_slices,4,1.0,0.7871848859977552
1,0,renal_crop,4,100.0,0.7858030406060458
1,0,radiomics,8,100.0,0.7006720793496042
1,1,full,8,100.0,0.7811585950845118
1,1,renal_slices,4,10.0,0.7796532170630308
1,1,renal_crop,4,10.0,0.7125663965306105
1,1,radiomics,8,100.0,0.721050072668939
1,2,full,8,100.0,0.8367656153370439
1,2,renal_slices,8,1.0,0.8029684601113173
1,2,renal_crop,8,100.0,0.8079158936301795
1,2,radiomics,8,100.0,0.7153988868274582
1,3,full,8,10.0,0.8550296196009208
1,3,renal_slices,4,100.0,0.7570935659485984
1,3,renal_crop,4,100.0,0.7805521756268102
1,3,radiomics,4,1.0,0.729401952551513
1,4,full,8,100.0,0.764260225701414
1,4,renal_slices,4,1.0,0.7048976314733038
1,4,renal_crop,4,1.0,0.7797738525357955
1,4,radiomics,8,100.0,0.591556269235916
2,0,full,8,100.0,0.7872586682427108
2,0,renal_slices,4,100.0,0.7396818360914105
2,0,renal_crop,4,1.0,0.6867242907801417
2,0,radiomics,4,1.0,0.7463184594168637
2,1,full,8,10.0,0.8309993550982616
2,1,renal_slices,8,1.0,0.804362285175953
2,1,renal_crop,4,100.0,0.7213458432140771
2,1,radiomics,8,10.0,0.5695412302460937
2,2,full,8,10.0,0.8247986910033819
2,2,renal_slices,4,100.0,0.8251716300756812
2,2,renal_crop,4,1.0,0.7463819052305194
2,2,radiomics,8,100.0,0.5939669782953364
2,3,full,4,1.0,0.7450110864745012
2,3,renal_slices,4,10.0,0.7510716925351072
2,3,renal_crop,4,10.0,0.7592017738359202
2,3,radiomics,8,100.0,0.7569844789356984
2,4,full,8,100.0,0.8667918302326904
2,4,renal_slices,4,1.0,0.7913921602093645
2,4,renal_crop,4,1.0,0.8627410820959208
2,4,radiomics,8,100.0,0.6832792854298231
