model,repeat,fold,n,events,cindex
full,0,0,15,4,0.8181818181818182
full,0,1,15,4,0.8333333333333334
full,0,2,15,4,0.7931034482758621
full,0,3,15,4,0.7741935483870968
full,0,4,15,4,0.8333333333333334
full,1,0,15,4,0.8214285714285714
full,1,1,15,4,0.6666666666666666
full,1,2,15,4,0.9259259259259259
full,1,3,15,4,0.78125
full,1,4,15,4,0.7857142857142857
full,2,0,15,4,0.75
full,2,1,15,4,0.875
full,2,2,15,4,0.6363636363636364
full,2,3,15,4,0.8484848484848485
full,2,4,15,4,0.6
renal_slices,0,0,15,4,0.48484848484848486
renal_slices,0,1,15,4,0.8888888888888888
renal_slices,0,2,15,4,0.7931034482758621
renal_slices,0,3,15,4,0.8709677419354839
renal_slices,0,4,15,4,0.8333333333333334
renal_slices,1,0,15,4,0.7857142857142857
renal_slices,1,1,15,4,0.5185185185185185
renal_slices,1,2,15,4,0.8148148148148148
renal_slices,1,3,15,4,0.8125
renal_slices,1,4,15,4,0.9642857142857143
renal_slices,2,0,15,4,0.8125
renal_slices,2,1,15,4,0.75
renal_slices,2,2,15,4,0.6363636363636364
renal_slices,2,3,15,4,0.8181818181818182
renal_slices,2,4,15,4,0.5666666666666667
renal_crop,0,0,15,4,0.5757575757575758
renal_crop,0,1,15,4,0.8333333333333334
renal_crop,0,2,15,4,0.6551724137931034
renal_crop,0,3,15,4,0.8387096774193549
renal_crop,0,4,15,4,0.7666666666666667
renal_crop,1,0,15,4,0.6428571428571429
renal_crop,1,1,15,4,0.6666666666666666
renal_crop,1,2,15,4,0.6666666666666666
renal_crop,1,3,15,4,0.65625
renal_crop,1,4,15,4,0.9285714285714286
renal_crop,2,0,15,4,0.8125
renal_crop,2,1,15,4,0.9166666666666666
renal_crop,2,2,15,4,0.8636363636363636
renal_crop,2,3,15,4,0.7575757575757576
renal_crop,2,4,15,4,0.43333333333333335
radiomics,0,0,15,4,0.5757575757575758
radiomics,0,1,15,4,0.6111111111111112
radiomics,0,2,15,4,0.6551724137931034
radiomics,0,3,15,4,0.7741935483870968
radiomics,0,4,15,4,0.6666666666666666
radiomics,1,0,15,4,0.6071428571428571
radiomics,1,1,15,4,0.4444444444444444
radiomics,1,2,15,4,0.7777777777777778
radiomics,1,3,15,4,0.5625
radiomics,1,4,15,4,0.8214285714285714
radiomics,2,0,15,4,0.5625
radiomics,2,1,15,4,0.875
radiomics,2,2,15,4,0.6363636363636364
radiomics,2,3,15,4,0.8787878787878788
radiomics,2,4,15,4,0.5333333333333333
