repeat,fold,model,epochs,inner_epochs,inner_cindex,parameters
0,0,full,12,"[8, 12, 12]",0.9061986863711002,319041
0,0,renal_slices,4,"[4, 7, 1]",0.8352250033284516,319041
0,0,renal_crop,1,"[3, 1, 1]",0.7825633515288688,319041
0,1,full,6,"[6, 3, 6]",0.8922565960609439,319041
0,1,renal_slices,10,"[3, 23, 10]",0.8988991081382386,319041
0,1,renal_crop,13,"[20, 9, 13]",0.8086770717205499,319041
0,2,full,17,"[10, 23, 17]",0.8427888718211299,319041
0,2,renal_slices,17,"[3, 17, 31]",0.8385560675883257,319041
0,2,renal_crop,3,"[3, 1, 12]",0.8008192524321557,319041
0,3,full,8,"[2, 8, 19]",0.847629299946929,319041
0,3,renal_slices,4,"[2, 4, 12]",0.8610869879866839,319041
0,3,renal_crop,1,"[1, 3, 1]",0.7764298982004149,319041
0,4,full,11,"[4, 11, 36]",0.8812210777728019,319041
0,4,renal_slices,10,"[14, 7, 10]",0.8872816838334079,319041
0,4,renal_crop,5,"[4, 13, 5]",0.8678509230233368,319041
1,0,full,14,"[15, 9, 14]",0.8579730567457814,319041
1,0,renal_slices,23,"[23, 25, 4]",0.9119469546148448,319041
1,0,renal_crop,8,"[6, 14, 8]",0.9061710593510789,319041
1,1,full,1,"[3, 1, 1]",0.8538171342698396,319041
1,1,renal_slices,11,"[11, 20, 1]",0.8946443381926623,319041
1,1,renal_crop,10,"[14, 10, 2]",0.7843279488119475,319041
1,2,full,7,"[7, 13, 1]",0.8538651824366109,319041
1,2,renal_slices,15,"[16, 15, 5]",0.875139146567718,319041
1,2,renal_crop,2,"[2, 7, 1]",0.7904143475572049,319041
1,3,full,7,"[8, 7, 1]",0.9090703958229792,319041
1,3,renal_slices,4,"[4, 6, 3]",0.9009642793896706,319041
1,3,renal_crop,1,"[1, 7, 1]",0.7863532758650237,319041
1,4,full,11,"[18, 11, 2]",0.8335117534234356,319041
1,4,renal_slices,17,"[17, 18, 2]",0.8761385431999643,319041
1,4,renal_crop,9,"[9, 9, 2]",0.7831972880146304,319041
2,0,full,4,"[3, 14, 4]",0.8275216706067771,319041
2,0,renal_slices,6,"[2, 6, 6]",0.7964194247438928,319041
2,0,renal_crop,2,"[2, 2, 7]",0.7282555161544524,319041
2,1,full,13,"[3, 21, 13]",0.8261352999803901,319041
2,1,renal_slices,8,"[14, 6, 8]",0.8761182171600468,319041
2,1,renal_crop,15,"[3, 15, 29]",0.8226520219387888,319041
2,2,full,8,"[8, 3, 20]",0.8682353538430297,319041
2,2,renal_slices,3,"[3, 1, 7]",0.8403742668134994,319041
2,2,renal_crop,6,"[6, 1, 17]",0.8292270984168639,319041
2,3,full,3,"[7, 3, 2]",0.8300073909830008,319041
2,3,renal_slices,7,"[13, 7, 1]",0.8848484848484848,319041
2,3,renal_crop,4,"[6, 2, 4]",0.8017738359201774,319041
2,4,full,2,"[26, 2, 1]",0.8890937019969277,319041
2,4,renal_slices,10,"[20, 6, 10]",0.8916481765944132,319041
2,4,renal_crop,7,"[6, 20, 7]",0.8899869147180975,319041
