repeat,fold,split_seed,configuration,slice_span,n_train,n_heldout,events_heldout,selected_epochs,inner_epochs,inner_cindex_mean,parameters,n_all,events_all,cindex_all,n_ct,events_ct,cindex_ct,n_mr,events_mr,cindex_mr
0,0,4049,span1,1,171,43,13,10,"[9, 13, 10]",0.7524102004050777,319041,43,13,0.628482972136223,37,10,0.7095238095238096,6,3,0.3
0,0,4049,span2,2,171,43,13,10,"[4, 10, 17]",0.7140091154635279,319041,43,13,0.6006191950464397,37,10,0.6904761904761905,6,3,0.3
0,0,4049,span4,4,171,43,13,31,"[5, 37, 31]",0.754654770203853,319041,43,13,0.5356037151702786,37,10,0.6095238095238096,6,3,0.7
0,1,4050,span1,1,171,43,13,9,"[9, 8, 11]",0.7511425808234319,319041,43,13,0.6599326599326599,39,12,0.6987951807228916,4,1,0.0
0,1,4050,span2,2,171,43,13,7,"[9, 5, 7]",0.7267555494151239,319041,43,13,0.6734006734006734,39,12,0.6827309236947792,4,1,0.0
0,1,4050,span4,4,171,43,13,6,"[6, 7, 4]",0.7104812563323201,319041,43,13,0.6767676767676768,39,12,0.6947791164658634,4,1,0.0
0,2,4051,span1,1,171,43,13,22,"[4, 41, 22]",0.6890867009450417,319041,43,13,0.7708333333333334,36,9,0.8414634146341463,7,4,0.5625
0,2,4051,span2,2,171,43,13,5,"[5, 2, 9]",0.6495052662794573,319041,43,13,0.7777777777777778,36,9,0.8109756097560976,7,4,0.6875
0,2,4051,span4,4,171,43,13,3,"[3, 2, 6]",0.6408590585141408,319041,43,13,0.6875,36,9,0.75,7,4,0.4375
0,3,4052,span1,1,171,43,13,8,"[8, 8, 16]",0.7407025290676147,319041,43,13,0.6948640483383686,38,11,0.7109375,5,2,0.75
0,3,4052,span2,2,171,43,13,6,"[4, 6, 9]",0.6859989446789602,319041,43,13,0.6918429003021148,38,11,0.703125,5,2,0.75
0,3,4052,span4,4,171,43,13,12,"[36, 8, 12]",0.6973230485817966,319041,43,13,0.6555891238670695,38,11,0.67578125,5,2,0.25
0,4,4053,span1,1,172,42,12,11,"[39, 10, 11]",0.7116981556455241,319041,42,12,0.7101910828025477,40,11,0.6865671641791045,2,1,1.0
0,4,4053,span2,2,172,42,12,6,"[6, 5, 11]",0.7084235755580784,319041,42,12,0.7006369426751592,40,11,0.6977611940298507,2,1,1.0
0,4,4053,span4,4,172,42,12,8,"[7, 8, 8]",0.7075837504492476,319041,42,12,0.6210191082802548,40,11,0.6417910447761194,2,1,1.0
1,0,4149,span1,1,171,43,13,16,"[7, 27, 16]",0.7371751430154285,319041,43,13,0.6287425149700598,37,11,0.6958333333333333,6,2,0.2857142857142857
1,0,4149,span2,2,171,43,13,11,"[4, 11, 42]",0.7082588802064257,319041,43,13,0.5958083832335329,37,11,0.6625,6,2,0.7142857142857143
1,0,4149,span4,4,171,43,13,6,"[4, 10, 6]",0.7174032207230111,319041,43,13,0.7035928143712575,37,11,0.7833333333333333,6,2,0.42857142857142855
1,1,4150,span1,1,171,43,13,6,"[6, 6, 39]",0.7486234283601179,319041,43,13,0.6289855072463768,40,12,0.615916955017301,3,1,1.0
1,1,4150,span2,2,171,43,13,4,"[4, 4, 3]",0.7028618964028972,319041,43,13,0.5971014492753624,40,12,0.5813148788927336,3,1,1.0
1,1,4150,span4,4,171,43,13,4,"[4, 4, 4]",0.696430144602917,319041,43,13,0.6115942028985507,40,12,0.6020761245674741,3,1,1.0
1,2,4151,span1,1,171,43,13,9,"[9, 2, 52]",0.7174300498413057,319041,43,13,0.7218045112781954,38,10,0.7794117647058824,5,3,0.2
1,2,4151,span2,2,171,43,13,7,"[7, 3, 43]",0.6971159445502831,319041,43,13,0.7330827067669173,38,10,0.7941176470588235,5,3,0.2
1,2,4151,span4,4,171,43,13,4,"[4, 4, 28]",0.6851108815242468,319041,43,13,0.7368421052631579,38,10,0.8284313725490197,5,3,0.2
1,3,4152,span1,1,171,43,13,17,"[19, 17, 6]",0.7583565458267167,319041,43,13,0.7722419928825622,36,11,0.7647058823529411,7,2,0.9090909090909091
1,3,4152,span2,2,171,43,13,8,"[8, 9, 4]",0.7424610738779182,319041,43,13,0.6156583629893239,36,11,0.6042780748663101,7,2,0.5454545454545454
1,3,4152,span4,4,171,43,13,7,"[10, 7, 4]",0.7478162901084406,319041,43,13,0.5693950177935944,36,11,0.6042780748663101,7,2,0.5454545454545454
1,4,4153,span1,1,172,42,12,8,"[1, 19, 8]",0.7026315104474071,319041,42,12,0.8165137614678899,39,9,0.8288288288288288,3,3,0.6666666666666666
1,4,4153,span2,2,172,42,12,7,"[1, 13, 7]",0.6883259147875136,319041,42,12,0.8103975535168195,39,9,0.8783783783783784,3,3,0.6666666666666666
1,4,4153,span4,4,172,42,12,5,"[1, 5, 6]",0.6743986014028347,319041,42,12,0.8012232415902141,39,9,0.8783783783783784,3,3,0.6666666666666666
2,0,4249,span1,1,171,43,13,16,"[16, 27, 6]",0.7233696054482198,319041,43,13,0.6870967741935484,39,12,0.6892430278884463,4,1,1.0
2,0,4249,span2,2,171,43,13,12,"[32, 12, 4]",0.6777909964785381,319041,43,13,0.7193548387096774,39,12,0.7410358565737052,4,1,0.6666666666666666
2,0,4249,span4,4,171,43,13,12,"[20, 12, 3]",0.7119782578809893,319041,43,13,0.7290322580645161,39,12,0.7290836653386454,4,1,1.0
2,1,4250,span1,1,171,43,13,8,"[11, 6, 8]",0.7382506352380965,319041,43,13,0.7033333333333334,41,11,0.6583333333333333,2,2,1.0
2,1,4250,span2,2,171,43,13,6,"[10, 6, 2]",0.6733028112852245,319041,43,13,0.71,41,11,0.6625,2,2,1.0
