seed,comparison,delta_observed,cindex_a,cindex_b,delta_mean,delta_lo,delta_hi,p_value,n_resamples,cindex_a_ci95_lo,cindex_a_ci95_hi,cindex_b_ci95_lo,cindex_b_ci95_hi
42,attention_minus_baseline,0.016447368421052655,0.75,0.7664473684210527,0.017426051169604467,-0.10788409041275383,0.15822898643110833,0.8576,5000,0.6005298913043478,0.87764064697609,0.6405200778941713,0.8585369865211809
42,mamba_minus_baseline,-0.003289473684210509,0.75,0.7467105263157895,-0.003234134568472105,-0.17267745370490614,0.1596508583353019,1.0,5000,0.6005298913043478,0.87764064697609,0.5965661536184697,0.8586240989674654
42,mamba_minus_attention,-0.019736842105263164,0.7664473684210527,0.7467105263157895,-0.02282259380188453,-0.14569881346578373,0.08197185714949139,0.7396,5000,0.6405200778941713,0.8585369865211809,0.5965661536184697,0.8586240989674654
123,attention_minus_baseline,0.12012012012012008,0.6336336336336337,0.7537537537537538,0.11982131802521882,-0.1961463190855373,0.42857142857142855,0.4452,5000,0.4121400910059057,0.8382007516442216,0.5669834031947434,0.911264103286679
123,mamba_minus_baseline,0.14114114114114107,0.6336336336336337,0.7747747747747747,0.14290798935498678,-0.11357571491692266,0.4117808072133961,0.2976,5000,0.4121400910059057,0.8382007516442216,0.6655405405405406,0.8680990022247691
123,mamba_minus_attention,0.02102102102102099,0.7537537537537538,0.7747747747747747,0.02717027603440471,-0.14865736079919453,0.22603910549116013,0.814,5000,0.5669834031947434,0.911264103286679,0.6655405405405406,0.8680990022247691
456,attention_minus_baseline,0.08361204013377921,0.6555183946488294,0.7391304347826086,0.08437913333371813,-0.09384751754932717,0.2579672843080485,0.3688,5000,0.44743342243342243,0.8253449987841451,0.5708478152929493,0.8692624068112947
456,mamba_minus_baseline,0.09030100334448155,0.6555183946488294,0.745819397993311,0.09375679270408993,-0.047191439400181244,0.23006521163437343,0.1904,5000,0.44743342243342243,0.8253449987841451,0.5791097601598933,0.8781181091240103
456,mamba_minus_attention,0.006688963210702337,0.7391304347826086,0.745819397993311,0.008439265696634083,-0.0722464728837303,0.10714525086173872,0.9156,5000,0.5708478152929493,0.8692624068112947,0.5791097601598933,0.8781181091240103
789,attention_minus_baseline,-0.06489675516224191,0.696165191740413,0.6312684365781711,-0.06748993698302079,-0.240390037593985,0.10193118569741934,0.44,5000,0.567778524183547,0.8192790516906334,0.46846679393147794,0.7743938830303422
789,mamba_minus_baseline,0.06784660766961648,0.696165191740413,0.7640117994100295,0.06485546615038325,-0.10134098360655731,0.23990088471220541,0.4784,5000,0.567778524183547,0.8192790516906334,0.6180650831761276,0.8883183807835617
789,mamba_minus_attention,0.1327433628318584,0.6312684365781711,0.7640117994100295,0.1341028910046881,0.023716988569176263,0.2592592592592592,0.0204,5000,0.46846679393147794,0.7743938830303422,0.6180650831761276,0.8883183807835617
1024,attention_minus_baseline,0.08333333333333337,0.6521739130434783,0.7355072463768116,0.08788579870035021,-0.052637904858299535,0.23636670761670764,0.2284,5000,0.5199950495049506,0.7729125804474409,0.5910565922832659,0.868421052631579
1024,mamba_minus_baseline,0.09782608695652173,0.6521739130434783,0.75,0.10164414224684845,-0.02318619220843827,0.23364906205876418,0.1112,5000,0.5199950495049506,0.7729125804474409,0.6297545815711906,0.8635101907189923
1024,mamba_minus_attention,0.01449275362318836,0.7355072463768116,0.75,0.014545951249465443,-0.06024356044869129,0.09575106382978711,0.7744,5000,0.5910565922832659,0.868421052631579,0.6297545815711906,0.8635101907189923
