repeat,fold,model,n_all,events_all,cindex_all,n_ct,events_ct,cindex_ct,n_mr,events_mr,cindex_mr
0,0,mamba,43,13,0.6160990712074303,37,10,0.7142857142857143,6,3,0.3
0,0,attention,43,13,0.6377708978328174,37,10,0.7142857142857143,6,3,0.3
0,0,ensemble_train_percentile50,43,13,0.6269349845201239,37,10,0.719047619047619,6,3,0.3
0,0,ensemble_raw50,43,13,0.6222910216718266,37,10,0.719047619047619,6,3,0.3
0,0,ensemble_train_z50,43,13,0.6253869969040248,37,10,0.7142857142857143,6,3,0.3
0,1,mamba,43,13,0.6397306397306397,39,12,0.6947791164658634,4,1,0.0
0,1,attention,43,13,0.6599326599326599,39,12,0.6626506024096386,4,1,0.0
0,1,ensemble_train_percentile50,43,13,0.6666666666666666,39,12,0.6927710843373494,4,1,0.0
0,1,ensemble_raw50,43,13,0.67003367003367,39,12,0.6987951807228916,4,1,0.0
0,1,ensemble_train_z50,43,13,0.67003367003367,39,12,0.6987951807228916,4,1,0.0
0,2,mamba,43,13,0.8090277777777778,36,9,0.8170731707317073,7,4,0.875
0,2,attention,43,13,0.75,36,9,0.7439024390243902,7,4,0.875
0,2,ensemble_train_percentile50,43,13,0.78125,36,9,0.7926829268292683,7,4,0.8125
0,2,ensemble_raw50,43,13,0.7847222222222222,36,9,0.7926829268292683,7,4,0.8125
0,2,ensemble_train_z50,43,13,0.78125,36,9,0.7865853658536586,7,4,0.8125
0,3,mamba,43,13,0.7069486404833837,38,11,0.7265625,5,2,0.75
0,3,attention,43,13,0.7129909365558912,38,11,0.7265625,5,2,0.75
0,3,ensemble_train_percentile50,43,13,0.6948640483383686,38,11,0.7109375,5,2,0.75
0,3,ensemble_raw50,43,13,0.7039274924471299,38,11,0.72265625,5,2,0.75
0,3,ensemble_train_z50,43,13,0.7009063444108762,38,11,0.71875,5,2,0.75
0,4,mamba,42,12,0.7611464968152867,40,11,0.746268656716418,2,1,1.0
0,4,attention,42,12,0.7292993630573248,40,11,0.7089552238805971,2,1,1.0
0,4,ensemble_train_percentile50,42,12,0.7484076433121019,40,11,0.7313432835820896,2,1,1.0
0,4,ensemble_raw50,42,12,0.7452229299363057,40,11,0.7276119402985075,2,1,1.0
0,4,ensemble_train_z50,42,12,0.7452229299363057,40,11,0.7276119402985075,2,1,1.0
1,0,mamba,43,13,0.6796407185628742,37,11,0.75,6,2,0.2857142857142857
1,0,attention,43,13,0.7844311377245509,37,11,0.8125,6,2,0.8571428571428571
1,0,ensemble_train_percentile50,43,13,0.7544910179640718,37,11,0.8166666666666667,6,2,0.7142857142857143
1,0,ensemble_raw50,43,13,0.7095808383233533,37,11,0.7708333333333334,6,2,0.42857142857142855
1,0,ensemble_train_z50,43,13,0.7335329341317365,37,11,0.7875,6,2,0.7142857142857143
1,1,mamba,43,13,0.6550724637681159,40,12,0.6332179930795848,3,1,1.0
1,1,attention,43,13,0.5739130434782609,40,12,0.5536332179930796,3,1,1.0
1,1,ensemble_train_percentile50,43,13,0.6086956521739131,40,12,0.5882352941176471,3,1,1.0
1,1,ensemble_raw50,43,13,0.6144927536231884,40,12,0.5951557093425606,3,1,1.0
1,1,ensemble_train_z50,43,13,0.6144927536231884,40,12,0.5951557093425606,3,1,1.0
1,2,mamba,43,13,0.7556390977443609,38,10,0.8235294117647058,5,3,0.2
1,2,attention,43,13,0.7218045112781954,38,10,0.7696078431372549,5,3,0.6
1,2,ensemble_train_percentile50,43,13,0.7443609022556391,38,10,0.7990196078431373,5,3,0.4
1,2,ensemble_raw50,43,13,0.7406015037593985,38,10,0.7941176470588235,5,3,0.4
1,2,ensemble_train_z50,43,13,0.7443609022556391,38,10,0.7990196078431373,5,3,0.4
1,3,mamba,43,13,0.697508896797153,36,11,0.7112299465240641,7,2,0.7272727272727273
1,3,attention,43,13,0.6405693950177936,36,11,0.679144385026738,7,2,0.36363636363636365
1,3,ensemble_train_percentile50,43,13,0.6779359430604982,36,11,0.6951871657754011,7,2,0.5909090909090909
1,3,ensemble_raw50,43,13,0.6761565836298933,36,11,0.6951871657754011,7,2,0.5454545454545454
1,3,ensemble_train_z50,43,13,0.6725978647686833,36,11,0.6898395721925134,7,2,0.5454545454545454
1,4,mamba,42,12,0.8073394495412844,39,9,0.7792792792792793,3,3,0.6666666666666666
1,4,attention,42,12,0.8348623853211009,39,9,0.8063063063063063,3,3,0.6666666666666666
1,4,ensemble_train_percentile50,42,12,0.8379204892966361,39,9,0.8153153153153153,3,3,0.6666666666666666
1,4,ensemble_raw50,42,12,0.8379204892966361,39,9,0.8153153153153153,3,3,0.6666666666666666
1,4,ensemble_train_z50,42,12,0.8379204892966361,39,9,0.8153153153153153,3,3,0.6666666666666666
2,0,mamba,43,13,0.7193548387096774,39,12,0.7290836653386454,4,1,1.0
2,0,attention,43,13,0.7290322580645161,39,12,0.7410358565737052,4,1,1.0
2,0,ensemble_train_percentile50,43,13,0.7290322580645161,39,12,0.7370517928286853,4,1,1.0
2,0,ensemble_raw50,43,13,0.7290322580645161,39,12,0.7370517928286853,4,1,1.0
2,0,ensemble_train_z50,43,13,0.7258064516129032,39,12,0.7330677290836654,4,1,1.0
2,1,mamba,43,13,0.7066666666666667,41,11,0.6708333333333333,2,2,1.0
2,1,attention,43,13,0.7433333333333333,41,11,0.7083333333333334,2,2,1.0
2,1,ensemble_train_percentile50,43,13,0.7533333333333333,41,11,0.7083333333333334,2,2,1.0
2,1,ensemble_raw50,43,13,0.7566666666666667,41,11,0.7083333333333334,2,2,1.0
2,1,ensemble_train_z50,43,13,0.7533333333333333,41,11,0.7041666666666667,2,2,1.0
2,2,mamba,43,13,0.7576601671309192,40,11,0.7902097902097902,3,2,0.6666666666666666
2,2,attention,43,13,0.7576601671309192,40,11,0.7867132867132867,3,2,0.6666666666666666
2,2,ensemble_train_percentile50,43,13,0.7632311977715878,40,11,0.7937062937062938,3,2,0.6666666666666666
2,2,ensemble_raw50,43,13,0.7632311977715878,40,11,0.7937062937062938,3,2,0.6666666666666666
2,2,ensemble_train_z50,43,13,0.766016713091922,40,11,0.7937062937062938,3,2,0.6666666666666666
2,3,mamba,43,13,0.6637168141592921,34,10,0.700507614213198,9,3,0.7058823529411765
2,3,attention,43,13,0.6489675516224189,34,10,0.6852791878172588,9,3,0.5294117647058824
2,3,ensemble_train_percentile50,43,13,0.6607669616519174,34,10,0.7055837563451777,9,3,0.5882352941176471
2,3,ensemble_raw50,43,13,0.6460176991150443,34,10,0.6852791878172588,9,3,0.5294117647058824
2,3,ensemble_train_z50,43,13,0.6430678466076696,34,10,0.6852791878172588,9,3,0.5294117647058824
2,4,mamba,42,12,0.5929203539823009,36,9,0.6026490066225165,6,3,0.16666666666666666
2,4,attention,42,12,0.588495575221239,36,9,0.5894039735099338,6,3,0.3333333333333333
2,4,ensemble_train_percentile50,42,12,0.588495575221239,36,9,0.5960264900662252,6,3,0.16666666666666666
2,4,ensemble_raw50,42,12,0.5796460176991151,36,9,0.5894039735099338,6,3,0.16666666666666666
2,4,ensemble_train_z50,42,12,0.588495575221239,36,9,0.6026490066225165,6,3,0.16666666666666666
