repeat,configuration,n_all,events_all,cindex_all,n_ct,events_ct,cindex_ct,n_mr,events_mr,cindex_mr
0,mamba,214,64,0.695386961494472,190,53,0.7282344779743323,24,11,0.5135135135135135
0,attention,214,64,0.6773414665141695,190,53,0.6977107180020812,24,11,0.5135135135135135
0,ensemble_train_percentile50,214,64,0.7119074850679883,190,53,0.7308359347901492,24,11,0.5506756756756757
0,ensemble_raw50,214,64,0.6947515567416445,190,53,0.7265001734304544,24,11,0.4864864864864865
0,ensemble_train_z50,214,64,0.7125428898208158,190,53,0.7320499479708636,24,11,0.5405405405405406
1,mamba,214,64,0.6927182615325963,190,53,0.71193201526188,24,11,0.6081081081081081
1,attention,214,64,0.6994535519125683,190,53,0.7049947970863684,24,11,0.6081081081081081
1,ensemble_train_percentile50,214,64,0.7252509848773668,190,53,0.7385535900104059,24,11,0.597972972972973
1,ensemble_raw50,214,64,0.6967848519506926,190,53,0.7162677766215747,24,11,0.6081081081081081
1,ensemble_train_z50,214,64,0.719532342101919,190,53,0.733437391605966,24,11,0.6013513513513513
2,mamba,214,64,0.6467149574278815,190,53,0.6810613943808532,24,11,0.5135135135135135
2,attention,214,64,0.6872537806582794,190,53,0.7060353798126952,24,11,0.5608108108108109
2,ensemble_train_percentile50,214,64,0.704473249459906,190,53,0.7227714186611169,24,11,0.5675675675675675
2,ensemble_raw50,214,64,0.6690812047274114,190,53,0.7008324661810614,24,11,0.49324324324324326
2,ensemble_train_z50,214,64,0.6967848519506926,190,53,0.7159209157127991,24,11,0.5540540540540541
