repeat,fold,model,tokens,use_position,n_outer_train,n_heldout,selected_epochs,inner_epochs,inner_cindex_mean,train_risk_mean,train_risk_std,parameters
0,0,attention,32,False,171,43,17,"[11, 17, 43]",0.7635650859360891,-1.3709549272966663,2.113753007166819,84033
0,0,mamba,64,False,171,43,17,"[9, 17, 23]",0.7639088556861081,-2.287773146136114,3.8149885114864177,319041
0,1,attention,32,False,171,43,5,"[4, 5, 46]",0.7564520585797182,-0.2028928055749302,1.0758065814027467,84033
0,1,mamba,64,False,171,43,12,"[12, 4, 23]",0.7656866537717603,-2.4423664733331805,2.389696887931311,319041
0,2,attention,32,False,171,43,4,"[3, 4, 9]",0.6959549979268753,-0.24302291739405246,1.0173252647820348,84033
0,2,mamba,64,False,171,43,6,"[17, 6, 2]",0.6818755749725788,-0.38256516059239704,1.1838913647897615,319041
0,3,attention,32,False,171,43,10,"[24, 1, 10]",0.7473124027993778,-0.5331138098144044,1.4411543869649481,84033
0,3,mamba,64,False,171,43,9,"[9, 8, 17]",0.7462853162260239,-0.6563653586900722,1.739981759820753,319041
0,4,attention,32,False,172,42,16,"[14, 20, 16]",0.7090429540137143,-1.3426113576563292,1.996530434413886,84033
0,4,mamba,64,False,172,42,7,"[7, 4, 11]",0.70394089449645,-0.4705504254386544,1.2338891331930066,319041
1,0,attention,32,False,171,43,7,"[7, 10, 7]",0.7215917596860671,-0.5021081430434483,1.10934161648995,84033
1,0,mamba,64,False,171,43,26,"[7, 30, 26]",0.742459331669787,-2.604962203673452,4.659084831812882,319041
1,1,attention,32,False,171,43,6,"[13, 6, 3]",0.742073749776734,0.5636071314850049,1.3210171322309219,84033
1,1,mamba,64,False,171,43,6,"[4, 6, 59]",0.7497429650331539,-0.1386643014630379,1.4000154810038798,319041
1,2,attention,32,False,171,43,11,"[11, 7, 47]",0.7152126241579199,-1.172479465168122,1.4963641603465279,84033
1,2,mamba,64,False,171,43,6,"[6, 3, 9]",0.6974880055069694,-1.446110992578038,1.1975297016506457,319041
1,3,attention,32,False,171,43,9,"[3, 9, 9]",0.7729741977347692,-0.7384043621738055,1.4088826234075305,84033
1,3,mamba,64,False,171,43,12,"[12, 17, 6]",0.7595372735275374,-2.33591723803714,2.5482183255971624,319041
1,4,attention,32,False,172,42,12,"[3, 13, 12]",0.6783300977456217,-0.5851295211374067,1.6289276181856256,84033
1,4,mamba,64,False,172,42,9,"[1, 22, 9]",0.7090144865948602,-0.6437044170533501,1.926816503411911,319041
2,0,attention,32,False,171,43,20,"[45, 20, 7]",0.7070540274737477,-1.6643010332352586,2.250180617557186,84033
2,0,mamba,64,False,171,43,14,"[20, 14, 6]",0.7257616615378107,-0.6394850785097881,3.517479803223293,319041
2,1,attention,32,False,171,43,20,"[16, 20, 66]",0.726358472385178,-0.811047266275562,2.209668007560547,84033
2,1,mamba,64,False,171,43,5,"[11, 5, 4]",0.7398469768604925,-0.48182085762072724,1.1726708053840111,319041
2,2,attention,32,False,171,43,22,"[42, 22, 2]",0.707763792405102,-1.6526651580692733,2.3072028724061195,84033
2,2,mamba,64,False,171,43,18,"[31, 18, 12]",0.6947693687221852,-3.4986341538136467,3.5855930831224554,319041
2,3,attention,32,False,171,43,19,"[19, 4, 40]",0.7405156568861915,-1.6799562066270595,2.1777586741636177,84033
2,3,mamba,64,False,171,43,36,"[40, 2, 36]",0.7384592209095254,-4.496974119753168,5.00223354156954,319041
2,4,attention,32,False,172,42,10,"[29, 8, 10]",0.7720302884463172,-0.7603920505836953,1.632958885000623,84033
2,4,mamba,64,False,172,42,6,"[21, 6, 5]",0.7578664135731424,-0.9471367829544253,1.3099464304147814,319041
