subgroup,candidate,reference,mean_delta_across_repeats,ci95_lo,ci95_hi,bootstrap_p,n_bootstrap
all,multiwindow_mamba,single_mamba,-0.008514423687889164,-0.04211633848141658,0.025940467665539684,0.6172,5000
all,multiwindow_attention,single_attention,0.012919896640826859,0.0018460619750305849,0.024056336792184975,0.0228,5000
all,multiwindow_ensemble_train_percentile50,single_ensemble_train_percentile50,0.006947091964247883,-0.0037181743363171667,0.018244563780010454,0.2052,5000
all,multiwindow_ensemble_raw50,single_ensemble_raw50,-0.00338882534841356,-0.02884910196037614,0.022174333058370604,0.7924,5000
all,multiwindow_ensemble_train_z50,single_ensemble_train_z50,0.005464480874316983,-0.006565196972864907,0.01751504195048713,0.3724,5000
CT,multiwindow_mamba,single_mamba,-0.0005202913631633758,-0.032680857731220335,0.03233998924297428,0.9812,5000
CT,multiwindow_attention,single_attention,0.012082321655682793,0.0,0.02525095881581383,0.0504,5000
CT,multiwindow_ensemble_train_percentile50,single_ensemble_train_percentile50,0.0072840790842872245,-0.004338697593619277,0.019435484208810437,0.212,5000
CT,multiwindow_ensemble_raw50,single_ensemble_raw50,0.00618568620649788,-0.01801805372271451,0.03065460039958703,0.6084,5000
CT,multiwindow_ensemble_train_z50,single_ensemble_train_z50,0.007688750144525376,-0.0051692146718867625,0.020580491193103068,0.2384,5000
MR,multiwindow_mamba,single_mamba,-0.022522522522522515,-0.12397335865715314,0.08656028687358693,0.6708,5000
MR,multiwindow_attention,single_attention,0.03378378378378379,-0.02941393371507894,0.10063056865828092,0.3016,5000
MR,multiwindow_ensemble_train_percentile50,single_ensemble_train_percentile50,0.023648648648648646,-0.03073773488338086,0.08555630630630628,0.3904,5000
MR,multiwindow_ensemble_raw50,single_ensemble_raw50,-0.03378378378378375,-0.12250148133517678,0.04848927228489267,0.4044,5000
MR,multiwindow_ensemble_train_z50,single_ensemble_train_z50,0.0,-0.06813466718804309,0.06825526932084307,1.0,5000
