repeat,fold,split_seed,n_outer_train,n_heldout,events_heldout,official_pca_dim,official_penalizer,official_inner_cindex,cindex_official_pca_cox,cindex_attention,cindex_mamba,delta_mamba_minus_official,delta_mamba_minus_attention,attention_selected_epochs,attention_inner_cindex_mean,attention_parameters,mamba_selected_epochs,mamba_inner_cindex_mean,mamba_parameters,attention_inner_epochs,mamba_inner_epochs
0,0,2026,171,43,13,24,0.1,0.6894501053851362,0.7146974063400576,0.6397694524495677,0.7146974063400576,0.0,0.0749279538904899,9,0.7332160896691186,84033,12,0.7807079598124375,319041,"[3, 9, 39]","[1, 12, 21]"
0,1,2027,171,43,13,8,0.5,0.6342737173453915,0.6617210682492581,0.7596439169139466,0.7833827893175074,0.12166172106824924,0.023738872403560762,6,0.6802825961478435,84033,7,0.7032243135773548,319041,"[6, 17, 1]","[5, 7, 29]"
0,2,2028,171,43,13,24,0.05,0.6722295810357686,0.6549520766773163,0.6517571884984026,0.6645367412140575,0.009584664536741228,0.012779552715654896,8,0.724805551151278,84033,6,0.7409883345371692,319041,"[5, 8, 19]","[6, 6, 14]"
0,3,2029,171,43,13,4,5.0,0.6616292006849874,0.5596026490066225,0.695364238410596,0.7119205298013245,0.152317880794702,0.01655629139072845,12,0.6910083362549179,84033,15,0.6993026769353685,319041,"[12, 14, 2]","[8, 15, 19]"
0,4,2030,172,42,12,16,5.0,0.6500834706028855,0.6525096525096525,0.7027027027027027,0.8146718146718147,0.16216216216216217,0.11196911196911197,5,0.7022203771623423,84033,12,0.7170428526896848,319041,"[5, 23, 2]","[2, 15, 12]"
1,0,2126,171,43,13,4,20.0,0.6604296231923795,0.6094276094276094,0.696969696969697,0.6767676767676768,0.06734006734006737,-0.02020202020202022,5,0.7176390283337443,84033,4,0.7063207324086124,319041,"[5, 6, 1]","[4, 11, 1]"
1,1,2127,171,43,13,32,1.0,0.7014095177750636,0.6923076923076923,0.782051282051282,0.717948717948718,0.02564102564102566,-0.0641025641025641,17,0.7283561774418038,84033,12,0.7337916345462835,319041,"[17, 12, 18]","[12, 10, 28]"
1,2,2128,171,43,13,24,20.0,0.7437889065801547,0.6051873198847262,0.6195965417867435,0.590778097982709,-0.01440922190201721,-0.028818443804034533,9,0.7157723896579188,84033,6,0.7220599309872272,319041,"[16, 9, 3]","[14, 6, 4]"
1,3,2129,171,43,13,48,20.0,0.6901956623056692,0.6633663366336634,0.7392739273927392,0.7425742574257426,0.07920792079207917,0.0033003300330033403,15,0.764642928478692,84033,7,0.7559556505114778,319041,"[15, 5, 21]","[40, 6, 7]"
1,4,2130,172,42,12,8,5.0,0.6224774694864103,0.7508650519031141,0.8062283737024222,0.7301038062283737,-0.02076124567474047,-0.0761245674740485,5,0.6864188687907777,84033,13,0.7051605101836471,319041,"[5, 3, 25]","[5, 13, 24]"
2,0,2226,171,43,13,24,5.0,0.7056946851502235,0.6868686868686869,0.7609427609427609,0.7946127946127947,0.10774410774410781,0.03367003367003374,4,0.7168345684600322,84033,3,0.694464488370354,319041,"[2, 48, 4]","[2, 10, 3]"
2,1,2227,171,43,13,4,5.0,0.669606388097567,0.6204819277108434,0.7710843373493976,0.7740963855421686,0.1536144578313252,0.0030120481927710108,5,0.6735119263354297,84033,4,0.7006408080372796,319041,"[9, 5, 3]","[4, 5, 1]"
2,2,2228,171,43,13,48,5.0,0.6940334385406347,0.652027027027027,0.6858108108108109,0.7094594594594594,0.057432432432432456,0.023648648648648574,13,0.7450738944397015,84033,7,0.742457585345831,319041,"[7, 36, 13]","[5, 34, 7]"
2,3,2229,171,43,13,16,0.5,0.69462087512935,0.6032786885245902,0.6459016393442623,0.6754098360655738,0.0721311475409836,0.029508196721311553,12,0.7407505526419657,84033,8,0.7343734258679442,319041,"[12, 4, 24]","[10, 1, 8]"
2,4,2230,172,42,12,4,1.0,0.6958008097402576,0.5668789808917197,0.6592356687898089,0.697452229299363,0.13057324840764328,0.03821656050955413,40,0.7648979559571903,84033,15,0.7642139153569075,319041,"[16, 47, 40]","[15, 10, 17]"
