repeat,configuration,n_all,events_all,cindex_all,n_ct,events_ct,cindex_ct,n_mr,events_mr,cindex_mr
0,mamba,214,64,0.6721311475409836,190,53,0.6756850502948317,24,11,0.6081081081081081
0,attention,214,64,0.6671749904689287,190,53,0.6670135275754423,24,11,0.6216216216216216
0,ensemble_train_percentile50,214,64,0.6838861354682934,190,53,0.6891259105098856,24,11,0.5675675675675675
0,ensemble_raw50,214,64,0.6805184902783072,190,53,0.6840097121054457,24,11,0.5743243243243243
0,ensemble_train_z50,214,64,0.6816622188333968,190,53,0.6869580298300382,24,11,0.5540540540540541
1,mamba,214,64,0.6120218579234973,190,53,0.614290669441554,24,11,0.6351351351351351
1,attention,214,64,0.6169780149955522,190,53,0.6318071453347208,24,11,0.49324324324324326
1,ensemble_train_percentile50,214,64,0.6542762739865294,190,53,0.6631980575789108,24,11,0.5912162162162162
1,ensemble_raw50,214,64,0.621171686364214,190,53,0.6257370794311481,24,11,0.6148648648648649
1,ensemble_train_z50,214,64,0.6501461430931503,190,53,0.6546999653139092,24,11,0.5945945945945946
2,mamba,214,64,0.6290507052992756,190,53,0.634928893513701,24,11,0.6148648648648649
2,attention,214,64,0.6656500190621426,190,53,0.6706555671175859,24,11,0.5743243243243243
2,ensemble_train_percentile50,214,64,0.6775956284153005,190,53,0.6772459243843219,24,11,0.5878378378378378
2,ensemble_raw50,214,64,0.6505273859448468,190,53,0.6567811307665626,24,11,0.581081081081081
2,ensemble_train_z50,214,64,0.6737831998983352,190,53,0.674644467568505,24,11,0.5608108108108109
