repeat,fold,model,tokens,use_position,n_outer_train,n_heldout,selected_epochs,inner_epochs,inner_cindex_mean,train_risk_mean,train_risk_std,parameters
0,0,attention,32,False,171,43,3,"[3, 13, 3]",0.7031824131602264,0.360136174841931,0.8727840805870131,84033
0,0,mamba,64,False,171,43,13,"[4, 13, 18]",0.7055840707748938,-1.327430035374318,2.4430469080832733,319041
0,1,attention,32,False,171,43,5,"[5, 27, 1]",0.6968729851708574,-0.7159960365347695,1.1470677815957742,84033
0,1,mamba,64,False,171,43,5,"[5, 12, 3]",0.7065409413281754,-0.6122375358201084,1.2523950509117923,319041
0,2,attention,32,False,171,43,7,"[2, 32, 7]",0.6789561902280165,-0.708108285975735,1.1141474343832176,84033
0,2,mamba,64,False,171,43,4,"[2, 8, 4]",0.6727400057409604,-0.45097762555406806,1.1052934989027507,319041
0,3,attention,32,False,171,43,8,"[4, 9, 8]",0.7072155261793677,-0.45549788230169586,1.2598705229658689,84033
0,3,mamba,64,False,171,43,4,"[3, 4, 12]",0.7034573335555061,-0.5787906554794451,1.0235504053341566,319041
0,4,attention,32,False,172,42,9,"[46, 4, 9]",0.7147986954565901,-0.40812983957314214,1.252055903733778,84033
0,4,mamba,64,False,172,42,7,"[7, 4, 12]",0.685095299978341,-0.207978458382016,1.2530502174028813,319041
1,0,attention,32,False,171,43,18,"[7, 18, 42]",0.7381166962418545,-1.643995429688727,1.7820028561450427,84033
1,0,mamba,64,False,171,43,26,"[5, 27, 26]",0.7427202975425651,-2.123804721915931,4.271164741723057,319041
1,1,attention,32,False,171,43,5,"[3, 5, 12]",0.7285939747512894,-0.12723038541643242,1.1006307866667109,84033
1,1,mamba,64,False,171,43,4,"[4, 5, 2]",0.7140381828833694,0.35219702021115357,1.1244051046987569,319041
1,2,attention,32,False,171,43,19,"[19, 3, 37]",0.6755909248553511,-0.841079811647273,1.838455024247879,84033
1,2,mamba,64,False,171,43,14,"[14, 3, 28]",0.686300938981574,-3.729849066214952,2.3160842635575842,319041
1,3,attention,32,False,171,43,4,"[4, 4, 10]",0.727321225233981,-0.20642534081350294,1.0010659512911995,84033
1,3,mamba,64,False,171,43,7,"[1, 7, 7]",0.7207832565368598,-1.1531469314767604,1.525829802937297,319041
1,4,attention,32,False,172,42,4,"[1, 4, 11]",0.6581108526273033,-1.0384165835675112,0.9050491840961506,84033
1,4,mamba,64,False,172,42,8,"[1, 8, 10]",0.6488422407337793,-0.5072518259200246,1.5085065770549804,319041
2,0,attention,32,False,171,43,6,"[1, 6, 26]",0.6729931368505652,-0.1353151323981801,1.1458241052773424,84033
2,0,mamba,64,False,171,43,3,"[3, 1, 11]",0.6673894652242421,0.7738144338697369,0.9849382440898471,319041
2,1,attention,32,False,171,43,7,"[8, 1, 7]",0.669453850653981,-0.2202727757067534,1.19134975850325,84033
2,1,mamba,64,False,171,43,5,"[11, 4, 5]",0.6563204392873828,-0.0259740982226461,1.1892279811940065,319041
2,2,attention,32,False,171,43,10,"[25, 3, 10]",0.6957386645879664,-0.3973388978176647,1.2031400543747093,84033
2,2,mamba,64,False,171,43,10,"[29, 3, 10]",0.675530437928127,-1.0074515128562673,2.031109620355624,319041
2,3,attention,32,False,171,43,2,"[14, 2, 1]",0.6797979944329026,-0.3770216031337691,0.6654504119274325,84033
2,3,mamba,64,False,171,43,3,"[4, 2, 3]",0.6550877413483018,-0.23306103061601433,1.0146221292244524,319041
2,4,attention,32,False,172,42,11,"[20, 9, 11]",0.7056513706274848,-1.2993989682561435,1.5064029279491904,84033
2,4,mamba,64,False,172,42,12,"[20, 8, 12]",0.7308693975981466,-3.083399243436234,2.2226008276335953,319041
