subgroup,candidate,reference,mean_delta_across_repeats,ci95_lo,ci95_hi,bootstrap_p,n_bootstrap
all,imagenet50_mamba,resnet18_imagenet_mamba,-0.04905324691828694,-0.09185970092998924,-0.008352334552039101,0.0196,5000
all,imagenet50_attention,resnet18_imagenet_attention,-0.025162028211971037,-0.07062730210813296,0.01929178413069751,0.2596,5000
all,imagenet50_ensemble_train_percentile50,resnet18_imagenet_ensemble_train_percentile50,-0.03498962172237045,-0.07187763237241476,0.0021447456122053554,0.066,5000
all,imagenet50_ensemble_raw50,resnet18_imagenet_ensemble_raw50,-0.03952217562587368,-0.08292581260266685,0.004166225739259056,0.0732,5000
all,imagenet50_ensemble_train_z50,resnet18_imagenet_ensemble_train_z50,-0.03562502647519802,-0.0742036009671188,0.0017645587657814698,0.0628,5000
CT,imagenet50_mamba,resnet18_imagenet_mamba,-0.06596138281882298,-0.11218215149906213,-0.02299006887391221,0.0028,5000
CT,imagenet50_attention,resnet18_imagenet_attention,-0.034339229968782435,-0.08448207290462123,0.019451265398657405,0.1844,5000
CT,imagenet50_ensemble_train_percentile50,resnet18_imagenet_ensemble_train_percentile50,-0.046884032836166045,-0.08551374558939943,-0.010133674056427967,0.0116,5000
CT,imagenet50_ensemble_raw50,resnet18_imagenet_ensemble_raw50,-0.052838478436813476,-0.09932760944680902,-0.004953295923209092,0.0308,5000
CT,imagenet50_ensemble_train_z50,resnet18_imagenet_ensemble_train_z50,-0.04734651404786675,-0.08791414219847224,-0.007461055305008075,0.0204,5000
MR,imagenet50_mamba,resnet18_imagenet_mamba,0.05180180180180183,-0.09466490299823634,0.1812585509950248,0.4148,5000
MR,imagenet50_attention,resnet18_imagenet_attention,0.036036036036036036,-0.09524535423925667,0.1737089201877934,0.606,5000
MR,imagenet50_ensemble_train_percentile50,resnet18_imagenet_ensemble_train_percentile50,0.03378378378378377,-0.09523809523809519,0.14583333333333334,0.5664,5000
MR,imagenet50_ensemble_raw50,resnet18_imagenet_ensemble_raw50,0.027027027027027046,-0.11819756975697573,0.15414931145868743,0.6472,5000
MR,imagenet50_ensemble_train_z50,resnet18_imagenet_ensemble_train_z50,0.004504504504504532,-0.14785040890504314,0.13075541861453466,0.94,5000
