repeat,fold,model,n_all,events_all,cindex_all,n_ct,events_ct,cindex_ct,n_mr,events_mr,cindex_mr
0,0,mamba,43,13,0.628482972136223,37,10,0.6904761904761905,6,3,0.7
0,0,attention,43,13,0.5325077399380805,37,10,0.6761904761904762,6,3,0.1
0,0,ensemble_train_percentile50,43,13,0.5882352941176471,37,10,0.680952380952381,6,3,0.6
0,0,ensemble_raw50,43,13,0.5944272445820433,37,10,0.680952380952381,6,3,0.6
0,0,ensemble_train_z50,43,13,0.5882352941176471,37,10,0.6857142857142857,6,3,0.6
0,1,mamba,43,13,0.5757575757575758,39,12,0.642570281124498,4,1,0.0
0,1,attention,43,13,0.6464646464646465,39,12,0.6465863453815262,4,1,1.0
0,1,ensemble_train_percentile50,43,13,0.6026936026936027,39,12,0.6345381526104418,4,1,0.0
0,1,ensemble_raw50,43,13,0.5959595959595959,39,12,0.6506024096385542,4,1,0.0
0,1,ensemble_train_z50,43,13,0.6127946127946128,39,12,0.6385542168674698,4,1,0.0
0,2,mamba,43,13,0.7847222222222222,36,9,0.8658536585365854,7,4,0.5625
0,2,attention,43,13,0.7743055555555556,36,9,0.8353658536585366,7,4,0.5
0,2,ensemble_train_percentile50,43,13,0.7743055555555556,36,9,0.8536585365853658,7,4,0.5625
0,2,ensemble_raw50,43,13,0.7743055555555556,36,9,0.8536585365853658,7,4,0.5625
0,2,ensemble_train_z50,43,13,0.7708333333333334,36,9,0.8536585365853658,7,4,0.5
0,3,mamba,43,13,0.6948640483383686,38,11,0.71875,5,2,0.5
0,3,attention,43,13,0.649546827794562,38,11,0.6875,5,2,0.0
0,3,ensemble_train_percentile50,43,13,0.6858006042296072,38,11,0.7109375,5,2,0.25
0,3,ensemble_raw50,43,13,0.6888217522658611,38,11,0.71484375,5,2,0.25
0,3,ensemble_train_z50,43,13,0.6858006042296072,38,11,0.7109375,5,2,0.25
0,4,mamba,42,12,0.7133757961783439,40,11,0.7276119402985075,2,1,0.0
0,4,attention,42,12,0.6815286624203821,40,11,0.7350746268656716,2,1,0.0
0,4,ensemble_train_percentile50,42,12,0.7085987261146497,40,11,0.7257462686567164,2,1,0.0
0,4,ensemble_raw50,42,12,0.7133757961783439,40,11,0.7313432835820896,2,1,0.0
0,4,ensemble_train_z50,42,12,0.7070063694267515,40,11,0.7276119402985075,2,1,0.0
1,0,mamba,43,13,0.8652694610778443,37,11,0.9,6,2,1.0
1,0,attention,43,13,0.8353293413173652,37,11,0.8666666666666667,6,2,0.7142857142857143
1,0,ensemble_train_percentile50,43,13,0.8622754491017964,37,11,0.875,6,2,1.0
1,0,ensemble_raw50,43,13,0.8652694610778443,37,11,0.8875,6,2,1.0
1,0,ensemble_train_z50,43,13,0.8622754491017964,37,11,0.8833333333333333,6,2,1.0
