repeat,configuration,n_all,events_all,cindex_all,n_ct,events_ct,cindex_ct,n_mr,events_mr,cindex_mr
0,mamba,214,64,0.6680645571228873,190,53,0.6916406520985084,24,11,0.4797297297297297
0,attention,214,64,0.6080823484559664,190,53,0.6330211585154353,24,11,0.3918918918918919
0,ensemble_train_percentile50,214,64,0.6764518998602109,190,53,0.7141866111689212,24,11,0.40540540540540543
0,ensemble_raw50,214,64,0.6675562333206252,190,53,0.6919875130072841,24,11,0.3918918918918919
0,ensemble_train_z50,214,64,0.6811538950311349,190,53,0.7185223725286161,24,11,0.41216216216216217
1,mamba,214,64,0.6659041809632736,190,53,0.6749913284772806,24,11,0.5540540540540541
1,attention,214,64,0.6777227093658661,190,53,0.6926812348248352,24,11,0.5135135135135135
1,ensemble_train_percentile50,214,64,0.7178167492692845,190,53,0.7333506763787722,24,11,0.5675675675675675
1,ensemble_raw50,214,64,0.6795018426737832,190,53,0.6911203607353451,24,11,0.5337837837837838
1,ensemble_train_z50,214,64,0.7152115897826916,190,53,0.7299687825182102,24,11,0.5675675675675675
2,mamba,214,64,0.6141822340831109,190,53,0.6430801248699272,24,11,0.42567567567567566
2,attention,214,64,0.6360401575803787,190,53,0.6562608394033992,24,11,0.4797297297297297
2,ensemble_train_percentile50,214,64,0.6765154403354937,190,53,0.7104578563995838,24,11,0.4391891891891892
2,ensemble_raw50,214,64,0.6407421527513025,190,53,0.6697884148456469,24,11,0.46621621621621623
2,ensemble_train_z50,214,64,0.6745456856017283,190,53,0.7079431148109608,24,11,0.4594594594594595
