repeat,fold,model,tokens,use_position,n_outer_train,n_heldout,selected_epochs,inner_epochs,inner_cindex_mean,train_risk_mean,train_risk_std,parameters
0,0,attention,32,False,171,43,4,"[3, 9, 4]",0.7191478163642676,1.1378703506892187,0.6486728394182456,84033
0,0,mamba,64,False,171,43,8,"[1, 8, 10]",0.7315308649696629,-1.400500305911951,1.2927064201197869,319041
0,1,attention,32,False,171,43,6,"[21, 1, 6]",0.7445997973657548,0.6608561554063134,0.7035064490971539,84033
0,1,mamba,64,False,171,43,28,"[50, 1, 28]",0.7532780694482822,-3.6098232269069257,2.9571149274685613,319041
0,2,attention,32,False,171,43,19,"[24, 17, 19]",0.7000074646058927,-1.0406582567688318,1.3496242446841515,84033
0,2,mamba,64,False,171,43,16,"[1, 16, 25]",0.6844648431765471,-1.4799054345627973,2.0786923459710818,319041
0,3,attention,32,False,171,43,32,"[40, 6, 32]",0.7532404835962377,-1.1618388471852619,2.819485580543692,84033
0,3,mamba,64,False,171,43,13,"[13, 7, 37]",0.7499627397615344,-2.3517518144601968,2.138531512884041,319041
0,4,attention,32,False,172,42,7,"[7, 2, 14]",0.7131823861648424,-1.1285606069966805,0.8241282261191998,84033
0,4,mamba,64,False,172,42,8,"[4, 8, 14]",0.724460510249984,-0.9717152094445463,1.0390526966326157,319041
1,0,attention,32,False,171,43,7,"[7, 4, 18]",0.6936595377121509,0.18177232791108694,0.588392739239024,84033
1,0,mamba,64,False,171,43,14,"[14, 4, 30]",0.721183111058359,0.054892485122583067,1.1605533511476738,319041
1,1,attention,32,False,171,43,16,"[7, 16, 16]",0.7301509291638668,-0.15424744368732324,1.6822693529823785,84033
1,1,mamba,64,False,171,43,21,"[26, 21, 7]",0.7440782900331665,-1.8475697391955128,2.802592220202267,319041
1,2,attention,32,False,171,43,6,"[6, 4, 7]",0.7147210445502107,-0.24213015100760768,0.7624772261844349,84033
1,2,mamba,64,False,171,43,4,"[3, 7, 4]",0.6976936363590047,0.5745217591872689,0.5818892065638337,319041
1,3,attention,32,False,171,43,15,"[12, 20, 15]",0.7590688777108964,-0.02304706129937144,1.4113675418342382,84033
1,3,mamba,64,False,171,43,13,"[11, 13, 13]",0.7678546256738373,-1.0147430331920062,1.4490016449489715,319041
1,4,attention,32,False,172,42,14,"[31, 14, 1]",0.7232464718776276,-1.0084617589275504,1.2204885024725314,84033
1,4,mamba,64,False,172,42,8,"[4, 27, 8]",0.7186253625280806,-0.1376497981160186,1.127695950619219,319041
2,0,attention,32,False,171,43,5,"[5, 3, 8]",0.6690703552129268,0.6193667341742599,0.47209087525358584,84033
2,0,mamba,64,False,171,43,2,"[1, 5, 2]",0.6630674788236414,-0.02187344017955992,0.5268039659992597,319041
2,1,attention,32,False,171,43,7,"[1, 7, 13]",0.7134950923014757,-0.07265626279669896,0.8079473444841381,84033
2,1,mamba,64,False,171,43,3,"[7, 3, 2]",0.6874167185110028,0.9367869684570714,0.9031316668917828,319041
2,2,attention,32,False,171,43,15,"[9, 15, 25]",0.7341597185602963,-1.128699256401313,1.1362890548413629,84033
2,2,mamba,64,False,171,43,15,"[20, 15, 9]",0.7190927085005082,-0.5486223792210657,1.4207647428012522,319041
2,3,attention,32,False,171,43,10,"[10, 16, 1]",0.6888706816871126,0.4713538363140229,1.1458638340970977,84033
2,3,mamba,64,False,171,43,4,"[4, 11, 1]",0.679897977358474,0.7377858217696698,0.720948876346778,319041
2,4,attention,32,False,172,42,8,"[4, 19, 8]",0.7545777542418723,-0.02613761057254187,1.2243309302771537,84033
2,4,mamba,64,False,172,42,7,"[4, 14, 7]",0.7578840713979851,-0.360137993296565,1.3165570422182826,319041
