subgroup,candidate,reference,mean_delta_across_repeats,ci95_lo,ci95_hi,bootstrap_p,n_bootstrap
all,radimagenet50_mamba,imagenet50_mamba,0.011649087135171765,-0.04731592086253746,0.0728474035332354,0.6944,5000
all,radimagenet50_attention,imagenet50_attention,-0.00931926970813742,-0.07251492103847966,0.05444724583022476,0.7824,5000
all,radimagenet50_ensemble_train_percentile50,imagenet50_ensemble_train_percentile50,0.01832083703986102,-0.040467767827506,0.0745861030979556,0.5372,5000
all,radimagenet50_ensemble_raw50,imagenet50_ensemble_raw50,0.011860888719447607,-0.048390724917498504,0.0748643434355157,0.6928,5000
all,radimagenet50_ensemble_train_z50,imagenet50_ensemble_train_z50,0.021773202863557477,-0.03809336461492981,0.0815392160163736,0.4544,5000
CT,radimagenet50_mamba,imagenet50_mamba,0.02826916406520985,-0.03405616781649842,0.09068691803833358,0.376,5000
CT,radimagenet50_attention,imagenet50_attention,0.004162330905306895,-0.05554646524116803,0.06592362931311817,0.8956,5000
CT,radimagenet50_ensemble_train_percentile50,imagenet50_ensemble_train_percentile50,0.04277951208232167,-0.014424248335646404,0.09909403887752932,0.146,5000
CT,radimagenet50_ensemble_raw50,imagenet50_ensemble_raw50,0.028789455428373228,-0.033804251966689645,0.08774312771824673,0.3764,5000
CT,radimagenet50_ensemble_train_z50,imagenet50_ensemble_train_z50,0.04671060238177823,-0.012103502169223514,0.10722201675290469,0.1196,5000
MR,radimagenet50_mamba,imagenet50_mamba,-0.13288288288288289,-0.34006492741921923,0.07711899275839336,0.2068,5000
MR,radimagenet50_attention,imagenet50_attention,-0.10135135135135137,-0.3078454715219421,0.1333675799086753,0.3692,5000
MR,radimagenet50_ensemble_train_percentile50,imagenet50_ensemble_train_percentile50,-0.11148648648648647,-0.35133534136546174,0.13949532326035538,0.3704,5000
MR,radimagenet50_ensemble_raw50,imagenet50_ensemble_raw50,-0.12612612612612614,-0.3536040932236585,0.1293041190346578,0.3156,5000
MR,radimagenet50_ensemble_train_z50,imagenet50_ensemble_train_z50,-0.09009009009009011,-0.3225038109756097,0.16369047619047616,0.4488,5000
