repeat,configuration,n_all,events_all,cindex_all,n_ct,events_ct,cindex_ct,n_mr,events_mr,cindex_mr
0,imagenet50_mamba,214,64,0.6721311475409836,190,53,0.6756850502948317,24,11,0.6081081081081081
0,imagenet50_attention,214,64,0.6671749904689287,190,53,0.6670135275754423,24,11,0.6216216216216216
0,imagenet50_ensemble_train_percentile50,214,64,0.6838861354682934,190,53,0.6891259105098856,24,11,0.5675675675675675
0,imagenet50_ensemble_raw50,214,64,0.6805184902783072,190,53,0.6840097121054457,24,11,0.5743243243243243
0,imagenet50_ensemble_train_z50,214,64,0.6816622188333968,190,53,0.6869580298300382,24,11,0.5540540540540541
0,radimagenet50_mamba,214,64,0.6680645571228873,190,53,0.6916406520985084,24,11,0.4797297297297297
0,radimagenet50_attention,214,64,0.6080823484559664,190,53,0.6330211585154353,24,11,0.3918918918918919
0,radimagenet50_ensemble_train_percentile50,214,64,0.6764518998602109,190,53,0.7141866111689212,24,11,0.40540540540540543
0,radimagenet50_ensemble_raw50,214,64,0.6675562333206252,190,53,0.6919875130072841,24,11,0.3918918918918919
0,radimagenet50_ensemble_train_z50,214,64,0.6811538950311349,190,53,0.7185223725286161,24,11,0.41216216216216217
1,imagenet50_mamba,214,64,0.6120218579234973,190,53,0.614290669441554,24,11,0.6351351351351351
1,imagenet50_attention,214,64,0.6169780149955522,190,53,0.6318071453347208,24,11,0.49324324324324326
1,imagenet50_ensemble_train_percentile50,214,64,0.6543398144618122,190,53,0.6632847728061048,24,11,0.5912162162162162
1,imagenet50_ensemble_raw50,214,64,0.621171686364214,190,53,0.6257370794311481,24,11,0.6148648648648649
1,imagenet50_ensemble_train_z50,214,64,0.6501461430931503,190,53,0.6546999653139092,24,11,0.5945945945945946
1,radimagenet50_mamba,214,64,0.6659041809632736,190,53,0.6749913284772806,24,11,0.5540540540540541
1,radimagenet50_attention,214,64,0.6777227093658661,190,53,0.6926812348248352,24,11,0.5135135135135135
1,radimagenet50_ensemble_train_percentile50,214,64,0.7178167492692845,190,53,0.7333506763787722,24,11,0.5675675675675675
1,radimagenet50_ensemble_raw50,214,64,0.6795018426737832,190,53,0.6911203607353451,24,11,0.5337837837837838
1,radimagenet50_ensemble_train_z50,214,64,0.7152115897826916,190,53,0.7299687825182102,24,11,0.5675675675675675
2,imagenet50_mamba,214,64,0.6290507052992756,190,53,0.634928893513701,24,11,0.6148648648648649
2,imagenet50_attention,214,64,0.6656500190621426,190,53,0.6706555671175859,24,11,0.5743243243243243
2,imagenet50_ensemble_train_percentile50,214,64,0.6775956284153005,190,53,0.6772459243843219,24,11,0.5878378378378378
2,imagenet50_ensemble_raw50,214,64,0.6505273859448468,190,53,0.6567811307665626,24,11,0.581081081081081
2,imagenet50_ensemble_train_z50,214,64,0.6737831998983352,190,53,0.674644467568505,24,11,0.5608108108108109
2,radimagenet50_mamba,214,64,0.6141822340831109,190,53,0.6430801248699272,24,11,0.42567567567567566
2,radimagenet50_attention,214,64,0.6360401575803787,190,53,0.6562608394033992,24,11,0.4797297297297297
2,radimagenet50_ensemble_train_percentile50,214,64,0.6765154403354937,190,53,0.7104578563995838,24,11,0.4391891891891892
2,radimagenet50_ensemble_raw50,214,64,0.6407421527513025,190,53,0.6697884148456469,24,11,0.46621621621621623
2,radimagenet50_ensemble_train_z50,214,64,0.6745456856017283,190,53,0.7079431148109608,24,11,0.4594594594594595
