subgroup,candidate,reference,mean_delta_across_repeats,ci95_lo,ci95_hi,bootstrap_p,n_bootstrap
all,radimagenet50_mamba,resnet18_imagenet_mamba,-0.037404159783115176,-0.08814428308038832,0.01407074465097512,0.1404,5000
all,radimagenet50_attention,resnet18_imagenet_attention,-0.034481297920108456,-0.09572425708758815,0.030820248365581396,0.2844,5000
all,radimagenet50_ensemble_train_percentile50,resnet18_imagenet_ensemble_train_percentile50,-0.01666878468250943,-0.06658752979639553,0.031621643820985215,0.4972,5000
all,radimagenet50_ensemble_raw50,resnet18_imagenet_ensemble_raw50,-0.02766128690642607,-0.07998833434191376,0.02707806784072319,0.3052,5000
all,radimagenet50_ensemble_train_z50,resnet18_imagenet_ensemble_train_z50,-0.013851823611640538,-0.0615540351302973,0.03510265631122867,0.5948,5000
CT,radimagenet50_mamba,resnet18_imagenet_mamba,-0.03769221875361314,-0.08894159273397423,0.014150097429720333,0.1436,5000
CT,radimagenet50_attention,resnet18_imagenet_attention,-0.030176899063475537,-0.09274186946290171,0.03164825666536417,0.3356,5000
CT,radimagenet50_ensemble_train_percentile50,resnet18_imagenet_ensemble_train_percentile50,-0.004104520753844376,-0.055554104378768523,0.045570122197014395,0.8716,5000
CT,radimagenet50_ensemble_raw50,resnet18_imagenet_ensemble_raw50,-0.02404902300844025,-0.07758296900188823,0.029528218240131045,0.362,5000
CT,radimagenet50_ensemble_train_z50,resnet18_imagenet_ensemble_train_z50,-0.0006359116660885252,-0.05325599031447378,0.05017011569631478,0.9704,5000
MR,radimagenet50_mamba,resnet18_imagenet_mamba,-0.08108108108108107,-0.25295098039215685,0.08889269406392686,0.3352,5000
MR,radimagenet50_attention,resnet18_imagenet_attention,-0.06531531531531533,-0.30159019812304483,0.17561240842490822,0.6056,5000
MR,radimagenet50_ensemble_train_percentile50,resnet18_imagenet_ensemble_train_percentile50,-0.0777027027027027,-0.2773337887067395,0.11178211821741521,0.4288,5000
MR,radimagenet50_ensemble_raw50,resnet18_imagenet_ensemble_raw50,-0.09909909909909909,-0.3173365079365079,0.1205834945196645,0.3728,5000
MR,radimagenet50_ensemble_train_z50,resnet18_imagenet_ensemble_train_z50,-0.08558558558558559,-0.29108824604312505,0.10279166666666645,0.3808,5000
