repeat,configuration,n_all,events_all,cindex_all,n_ct,events_ct,cindex_ct,n_mr,events_mr,cindex_mr
0,resnet18_imagenet_mamba,214,64,0.695386961494472,190,53,0.7282344779743323,24,11,0.5135135135135135
0,resnet18_imagenet_attention,214,64,0.6589147286821705,190,53,0.6805411030176899,24,11,0.47297297297297297
0,resnet18_imagenet_ensemble_train_percentile50,214,64,0.7017410090227475,190,53,0.7194762400277489,24,11,0.4831081081081081
0,resnet18_imagenet_ensemble_raw50,214,64,0.6890329139661965,190,53,0.7178286507110648,24,11,0.5
0,resnet18_imagenet_ensemble_train_z50,214,64,0.7007243614182234,190,53,0.7171349288935137,24,11,0.5135135135135135
0,radimagenet50_mamba,214,64,0.6680645571228873,190,53,0.6916406520985084,24,11,0.4797297297297297
0,radimagenet50_attention,214,64,0.6080823484559664,190,53,0.6330211585154353,24,11,0.3918918918918919
0,radimagenet50_ensemble_train_percentile50,214,64,0.6764518998602109,190,53,0.7141866111689212,24,11,0.40540540540540543
0,radimagenet50_ensemble_raw50,214,64,0.6675562333206252,190,53,0.6919875130072841,24,11,0.3918918918918919
0,radimagenet50_ensemble_train_z50,214,64,0.6811538950311349,190,53,0.7185223725286161,24,11,0.41216216216216217
1,resnet18_imagenet_mamba,214,64,0.6758164951073834,190,53,0.7004856052722858,24,11,0.5675675675675675
1,resnet18_imagenet_attention,214,64,0.6972931757529547,190,53,0.7022199098161637,24,11,0.5945945945945946
1,resnet18_imagenet_ensemble_train_percentile50,214,64,0.7139407802770364,190,53,0.7300554977454041,24,11,0.6081081081081081
1,resnet18_imagenet_ensemble_raw50,214,64,0.6923370186808997,190,53,0.7091571279916753,24,11,0.5878378378378378
1,resnet18_imagenet_ensemble_train_z50,214,64,0.7119074850679883,190,53,0.7266736038848421,24,11,0.6148648648648649
1,radimagenet50_mamba,214,64,0.6659041809632736,190,53,0.6749913284772806,24,11,0.5540540540540541
1,radimagenet50_attention,214,64,0.6777227093658661,190,53,0.6926812348248352,24,11,0.5135135135135135
1,radimagenet50_ensemble_train_percentile50,214,64,0.7178167492692845,190,53,0.7333506763787722,24,11,0.5675675675675675
1,radimagenet50_ensemble_raw50,214,64,0.6795018426737832,190,53,0.6911203607353451,24,11,0.5337837837837838
1,radimagenet50_ensemble_train_z50,214,64,0.7152115897826916,190,53,0.7299687825182102,24,11,0.5675675675675675
2,resnet18_imagenet_mamba,214,64,0.6891599949167619,190,53,0.6940686784599376,24,11,0.6216216216216216
2,resnet18_imagenet_attention,214,64,0.6690812047274114,190,53,0.6897329171002428,24,11,0.5135135135135135
2,resnet18_imagenet_ensemble_train_percentile50,214,64,0.7051086542127335,190,53,0.7207769684356573,24,11,0.5540540540540541
2,resnet18_imagenet_ensemble_raw50,214,64,0.689414156817893,190,53,0.6980575789108567,24,11,0.6013513513513513
2,resnet18_imagenet_ensemble_train_z50,214,64,0.6998347947642648,190,53,0.7145334720776968,24,11,0.5675675675675675
2,radimagenet50_mamba,214,64,0.6141822340831109,190,53,0.6430801248699272,24,11,0.42567567567567566
2,radimagenet50_attention,214,64,0.6360401575803787,190,53,0.6562608394033992,24,11,0.4797297297297297
2,radimagenet50_ensemble_train_percentile50,214,64,0.6765154403354937,190,53,0.7104578563995838,24,11,0.4391891891891892
2,radimagenet50_ensemble_raw50,214,64,0.6407421527513025,190,53,0.6697884148456469,24,11,0.46621621621621623
2,radimagenet50_ensemble_train_z50,214,64,0.6745456856017283,190,53,0.7079431148109608,24,11,0.4594594594594595
