candidate,reference,mean_delta_across_repeats,ci95_lo,ci95_hi,bootstrap_p,n_bootstrap
mamba_t32_posoff,attention_t32_posoff,-0.0029228618630067573,-0.03511188646695441,0.028447049862855265,0.862,5000
mamba_t32_poson,attention_t32_poson,-0.01571567755326808,-0.04702552440316261,0.013583566114569663,0.304,5000
mamba_t64_posoff,attention_t64_posoff,0.01296225695768205,-0.0160587538949545,0.04045548486647552,0.3532,5000
mamba_t64_poson,attention_t64_poson,0.006650569746261732,-0.021260033569275284,0.0327611248927866,0.6304,5000
attention_t64_posoff,attention_t32_posoff,-0.0012708095056551312,-0.01892004331911517,0.015971340823213435,0.9004,5000
attention_t64_poson,attention_t32_poson,-0.008556784004744356,-0.027297131764227125,0.008547812673047463,0.342,5000
mamba_t64_posoff,mamba_t32_posoff,0.014614309315033677,-0.007572076072867848,0.03645324740906723,0.1744,5000
mamba_t64_poson,mamba_t32_poson,0.01380946329478546,-0.009307930042724392,0.037292051789795146,0.2392,5000
attention_t32_poson,attention_t32_posoff,-0.0033041047147032896,-0.019765301990156497,0.012289854780340533,0.6744,5000
attention_t64_poson,attention_t64_posoff,-0.010590079213792514,-0.02625532127473236,0.005031656055983077,0.1904,5000
mamba_t32_poson,mamba_t32_posoff,-0.016096920404964615,-0.04619735452777636,0.014006427329197952,0.298,5000
mamba_t64_poson,mamba_t64_posoff,-0.016901766425212832,-0.03883115844884997,0.004654009688756789,0.1196,5000
