repeat,fold,split_seed,configuration,architecture,token_count,use_position,n_train,n_heldout,events_heldout,selected_epochs,inner_epochs,inner_cindex_mean,parameters,n_all,events_all,cindex_all,n_ct,events_ct,cindex_ct,n_mr,events_mr,cindex_mr
0,0,4049,attention_t32_posoff,attention,32,False,171,43,13,13,"[10, 13, 27]",0.7481800661711459,84033,43,13,0.6408668730650154,37,10,0.7285714285714285,6,3,0.3
0,0,4049,attention_t32_poson,attention,32,True,171,43,13,18,"[8, 18, 20]",0.7406645711385078,84033,43,13,0.6439628482972136,37,10,0.7238095238095238,6,3,0.3
0,0,4049,attention_t64_posoff,attention,64,False,171,43,13,17,"[10, 19, 17]",0.7513247202591963,84033,43,13,0.6160990712074303,37,10,0.7142857142857143,6,3,0.3
0,0,4049,attention_t64_poson,attention,64,True,171,43,13,12,"[11, 12, 22]",0.7414187163475955,84033,43,13,0.6439628482972136,37,10,0.7380952380952381,6,3,0.3
0,0,4049,mamba_t32_posoff,mamba,32,False,171,43,13,8,"[5, 13, 8]",0.7464923904656683,319041,43,13,0.628482972136223,37,10,0.7047619047619048,6,3,0.3
0,0,4049,mamba_t32_poson,mamba,32,True,171,43,13,18,"[5, 18, 19]",0.7472342995072623,319041,43,13,0.5913312693498453,37,10,0.7285714285714285,6,3,0.1
0,0,4049,mamba_t64_posoff,mamba,64,False,171,43,13,10,"[9, 13, 10]",0.7524102004050777,319041,43,13,0.628482972136223,37,10,0.7095238095238096,6,3,0.3
0,0,4049,mamba_t64_poson,mamba,64,True,171,43,13,17,"[4, 17, 19]",0.7572766665460456,319041,43,13,0.6068111455108359,37,10,0.7428571428571429,6,3,0.1
0,1,4050,attention_t32_posoff,attention,32,False,171,43,13,3,"[3, 3, 43]",0.746110343557152,84033,43,13,0.6262626262626263,39,12,0.6305220883534136,4,1,1.0
0,1,4050,attention_t32_poson,attention,32,True,171,43,13,3,"[5, 3, 1]",0.7390987381412913,84033,43,13,0.6161616161616161,39,12,0.6184738955823293,4,1,1.0
0,1,4050,attention_t64_posoff,attention,64,False,171,43,13,11,"[4, 11, 18]",0.7408768536428111,84033,43,13,0.6734006734006734,39,12,0.6947791164658634,4,1,0.0
0,1,4050,attention_t64_poson,attention,64,True,171,43,13,4,"[4, 11, 1]",0.7385824813484388,84033,43,13,0.6296296296296297,39,12,0.6305220883534136,4,1,1.0
0,1,4050,mamba_t32_posoff,mamba,32,False,171,43,13,9,"[9, 7, 10]",0.7476360873169384,319041,43,13,0.6632996632996633,39,12,0.6987951807228916,4,1,0.0
0,1,4050,mamba_t32_poson,mamba,32,True,171,43,13,10,"[10, 3, 20]",0.7442207792207792,319041,43,13,0.6531986531986532,39,12,0.6907630522088354,4,1,0.0
0,1,4050,mamba_t64_posoff,mamba,64,False,171,43,13,9,"[9, 8, 11]",0.7511425808234319,319041,43,13,0.6599326599326599,39,12,0.6987951807228916,4,1,0.0
0,1,4050,mamba_t64_poson,mamba,64,True,171,43,13,11,"[11, 3, 16]",0.7490305793497284,319041,43,13,0.6430976430976431,39,12,0.6827309236947792,4,1,0.0
0,2,4051,attention_t32_posoff,attention,32,False,171,43,13,5,"[36, 5, 5]",0.6982265906000706,84033,43,13,0.7256944444444444,36,9,0.725609756097561,7,4,0.75
0,2,4051,attention_t32_poson,attention,32,True,171,43,13,7,"[15, 7, 2]",0.7006414584663675,84033,43,13,0.7361111111111112,36,9,0.7439024390243902,7,4,0.625
0,2,4051,attention_t64_posoff,attention,64,False,171,43,13,10,"[20, 10, 5]",0.6943822959453844,84033,43,13,0.8020833333333334,36,9,0.823170731707317,7,4,0.75
0,2,4051,attention_t64_poson,attention,64,True,171,43,13,4,"[3, 14, 4]",0.6934584491760999,84033,43,13,0.7291666666666666,36,9,0.725609756097561,7,4,0.8125
0,2,4051,mamba_t32_posoff,mamba,32,False,171,43,13,7,"[15, 7, 4]",0.6868440392746846,319041,43,13,0.7673611111111112,36,9,0.774390243902439,7,4,0.75
0,2,4051,mamba_t32_poson,mamba,32,True,171,43,13,20,"[28, 20, 4]",0.6952909873027053,319041,43,13,0.71875,36,9,0.8475609756097561,7,4,0.4375
0,2,4051,mamba_t64_posoff,mamba,64,False,171,43,13,22,"[4, 41, 22]",0.6890867009450417,319041,43,13,0.7708333333333334,36,9,0.8414634146341463,7,4,0.5625
0,2,4051,mamba_t64_poson,mamba,64,True,171,43,13,9,"[13, 9, 4]",0.6836859228616675,319041,43,13,0.7777777777777778,36,9,0.8292682926829268,7,4,0.625
0,3,4052,attention_t32_posoff,attention,32,False,171,43,13,11,"[22, 1, 11]",0.7407453436273421,84033,43,13,0.6858006042296072,38,11,0.703125,5,2,0.75
0,3,4052,attention_t32_poson,attention,32,True,171,43,13,5,"[5, 1, 11]",0.7367420665777975,84033,43,13,0.6737160120845922,38,11,0.6875,5,2,0.75
0,3,4052,attention_t64_posoff,attention,64,False,171,43,13,9,"[21, 1, 9]",0.7349612123231876,84033,43,13,0.6797583081570997,38,11,0.69140625,5,2,0.75
0,3,4052,attention_t64_poson,attention,64,True,171,43,13,11,"[18, 1, 11]",0.7415662260238466,84033,43,13,0.6978851963746223,38,11,0.7109375,5,2,0.75
0,3,4052,mamba_t32_posoff,mamba,32,False,171,43,13,8,"[4, 8, 15]",0.7366943919869658,319041,43,13,0.7039274924471299,38,11,0.72265625,5,2,0.75
0,3,4052,mamba_t32_poson,mamba,32,True,171,43,13,7,"[4, 7, 40]",0.7301467729393467,319041,43,13,0.7009063444108762,38,11,0.71875,5,2,0.75
0,3,4052,mamba_t64_posoff,mamba,64,False,171,43,13,8,"[8, 8, 16]",0.7407025290676147,319041,43,13,0.6948640483383686,38,11,0.7109375,5,2,0.75
0,3,4052,mamba_t64_poson,mamba,64,True,171,43,13,10,"[10, 8, 16]",0.7315580333999853,319041,43,13,0.7039274924471299,38,11,0.7265625,5,2,0.75
0,4,4053,attention_t32_posoff,attention,32,False,172,42,12,20,"[17, 20, 48]",0.7143339593047195,84033,42,12,0.7229299363057324,40,11,0.7089552238805971,2,1,1.0
0,4,4053,attention_t32_poson,attention,32,True,172,42,12,22,"[22, 3, 55]",0.7104270767136264,84033,42,12,0.7292993630573248,40,11,0.7201492537313433,2,1,1.0
0,4,4053,attention_t64_posoff,attention,64,False,172,42,12,16,"[16, 19, 14]",0.7072191340173797,84033,42,12,0.732484076433121,40,11,0.7126865671641791,2,1,1.0
0,4,4053,attention_t64_poson,attention,64,True,172,42,12,17,"[17, 4, 17]",0.7090744548931683,84033,42,12,0.7420382165605095,40,11,0.7238805970149254,2,1,1.0
0,4,4053,mamba_t32_posoff,mamba,32,False,172,42,12,11,"[35, 10, 11]",0.7184306207113225,319041,42,12,0.678343949044586,40,11,0.6455223880597015,2,1,1.0
0,4,4053,mamba_t32_poson,mamba,32,True,172,42,12,27,"[50, 10, 27]",0.7198442390401455,319041,42,12,0.6401273885350318,40,11,0.6716417910447762,2,1,1.0
0,4,4053,mamba_t64_posoff,mamba,64,False,172,42,12,11,"[39, 10, 11]",0.7116981556455241,319041,42,12,0.7101910828025477,40,11,0.6865671641791045,2,1,1.0
0,4,4053,mamba_t64_poson,mamba,64,True,172,42,12,13,"[53, 2, 13]",0.70927715775669,319041,42,12,0.7101910828025477,40,11,0.6865671641791045,2,1,1.0
1,0,4149,attention_t32_posoff,attention,32,False,171,43,13,7,"[7, 11, 7]",0.7175447087099004,84033,43,13,0.718562874251497,37,11,0.7458333333333333,6,2,0.7142857142857143
1,0,4149,attention_t32_poson,attention,32,True,171,43,13,9,"[9, 13, 8]",0.7202505730868779,84033,43,13,0.718562874251497,37,11,0.75,6,2,1.0
1,0,4149,attention_t64_posoff,attention,64,False,171,43,13,10,"[6, 10, 29]",0.7227332326303598,84033,43,13,0.6976047904191617,37,11,0.7416666666666667,6,2,0.7142857142857143
1,0,4149,attention_t64_poson,attention,64,True,171,43,13,23,"[8, 23, 27]",0.7288752356716431,84033,43,13,0.6586826347305389,37,11,0.7416666666666667,6,2,0.42857142857142855
1,0,4149,mamba_t32_posoff,mamba,32,False,171,43,13,15,"[8, 21, 15]",0.726480268800902,319041,43,13,0.5958083832335329,37,11,0.6541666666666667,6,2,0.2857142857142857
1,0,4149,mamba_t32_poson,mamba,32,True,171,43,13,16,"[10, 16, 39]",0.7400066156516573,319041,43,13,0.6646706586826348,37,11,0.75,6,2,0.2857142857142857
1,0,4149,mamba_t64_posoff,mamba,64,False,171,43,13,16,"[7, 27, 16]",0.7371751430154285,319041,43,13,0.6287425149700598,37,11,0.6958333333333333,6,2,0.2857142857142857
1,0,4149,mamba_t64_poson,mamba,64,True,171,43,13,17,"[13, 17, 23]",0.7445327243966502,319041,43,13,0.6437125748502994,37,11,0.725,6,2,0.2857142857142857
1,1,4150,attention_t32_posoff,attention,32,False,171,43,13,8,"[8, 7, 17]",0.7274688120712982,84033,43,13,0.5855072463768116,40,12,0.5709342560553633,3,1,1.0
1,1,4150,attention_t32_poson,attention,32,True,171,43,13,8,"[8, 5, 20]",0.7386661702704811,84033,43,13,0.5884057971014492,40,12,0.5743944636678201,3,1,1.0
1,1,4150,attention_t64_posoff,attention,64,False,171,43,13,8,"[8, 4, 19]",0.7279696170161144,84033,43,13,0.6028985507246377,40,12,0.5882352941176471,3,1,1.0
1,1,4150,attention_t64_poson,attention,64,True,171,43,13,8,"[8, 5, 19]",0.7382776058849134,84033,43,13,0.5942028985507246,40,12,0.5778546712802768,3,1,1.0
1,1,4150,mamba_t32_posoff,mamba,32,False,171,43,13,6,"[6, 5, 17]",0.7431425878687444,319041,43,13,0.6289855072463768,40,12,0.6124567474048442,3,1,1.0
1,1,4150,mamba_t32_poson,mamba,32,True,171,43,13,7,"[7, 6, 17]",0.7435634759869334,319041,43,13,0.6318840579710145,40,12,0.6228373702422145,3,1,1.0
1,1,4150,mamba_t64_posoff,mamba,64,False,171,43,13,6,"[6, 6, 39]",0.7486234283601179,319041,43,13,0.6289855072463768,40,12,0.615916955017301,3,1,1.0
1,1,4150,mamba_t64_poson,mamba,64,True,171,43,13,8,"[8, 6, 51]",0.7376099046695487,319041,43,13,0.6521739130434783,40,12,0.6539792387543253,3,1,0.5
1,2,4151,attention_t32_posoff,attention,32,False,171,43,13,12,"[12, 5, 31]",0.7112985221970861,84033,43,13,0.7105263157894737,38,10,0.7598039215686274,5,3,0.6
1,2,4151,attention_t32_poson,attention,32,True,171,43,13,10,"[10, 5, 27]",0.7230947399242244,84033,43,13,0.6992481203007519,38,10,0.75,5,3,0.6
1,2,4151,attention_t64_posoff,attention,64,False,171,43,13,9,"[9, 8, 20]",0.7080496592991005,84033,43,13,0.6879699248120301,38,10,0.7401960784313726,5,3,0.6
1,2,4151,attention_t64_poson,attention,64,True,171,43,13,10,"[10, 5, 18]",0.7156346271263813,84033,43,13,0.6917293233082706,38,10,0.7401960784313726,5,3,0.6
