repeat,configuration,n_all,events_all,cindex_all,n_ct,events_ct,cindex_ct,n_mr,events_mr,cindex_mr
0,attention_t32_posoff,214,64,0.6589147286821705,190,53,0.6805411030176899,24,11,0.47297297297297297
0,attention_t32_poson,214,64,0.6568814334731223,190,53,0.6791536593825875,24,11,0.46621621621621623
0,attention_t64_posoff,214,64,0.6808997331300038,190,53,0.7039542143600416,24,11,0.47297297297297297
0,attention_t64_poson,214,64,0.6589147286821705,190,53,0.6782865071106486,24,11,0.49324324324324326
0,mamba_t32_posoff,214,64,0.6864912949548863,190,53,0.7010058966354492,24,11,0.5067567567567568
0,mamba_t32_poson,214,64,0.6355318337781166,190,53,0.6964967048213666,24,11,0.35135135135135137
0,mamba_t64_posoff,214,64,0.695386961494472,190,53,0.7282344779743323,24,11,0.5135135135135135
0,mamba_t64_poson,214,64,0.6711144999364596,190,53,0.7157474852584114,24,11,0.4391891891891892
1,attention_t32_posoff,214,64,0.6972931757529547,190,53,0.7022199098161637,24,11,0.5945945945945946
1,attention_t32_poson,214,64,0.6858558902020587,190,53,0.6949358307318765,24,11,0.5540540540540541
1,attention_t64_posoff,214,64,0.6877621044605413,190,53,0.6975372875476934,24,11,0.5675675675675675
1,attention_t64_poson,214,64,0.6651416952598805,190,53,0.6992715920915713,24,11,0.47297297297297297
1,mamba_t32_posoff,214,64,0.6556106239674673,190,53,0.6739507457509538,24,11,0.5405405405405406
1,mamba_t32_poson,214,64,0.6713686618375906,190,53,0.6933749566423864,24,11,0.527027027027027
1,mamba_t64_posoff,214,64,0.6758164951073834,190,53,0.7004856052722858,24,11,0.5675675675675675
1,mamba_t64_poson,214,64,0.6720040665904181,190,53,0.701179327089837,24,11,0.5337837837837838
2,attention_t32_posoff,214,64,0.6690812047274114,190,53,0.6897329171002428,24,11,0.5135135135135135
2,attention_t32_poson,214,64,0.6726394713432456,190,53,0.6826222684703434,24,11,0.5472972972972973
2,attention_t64_posoff,214,64,0.652814843055026,190,53,0.6599028789455429,24,11,0.5608108108108109
2,attention_t64_poson,214,64,0.6656500190621426,190,53,0.6789802289281998,24,11,0.4864864864864865
2,mamba_t32_posoff,214,64,0.6744186046511628,190,53,0.6742976066597295,24,11,0.6486486486486487
2,mamba_t32_poson,214,64,0.6613292667429153,190,53,0.6760319112036074,24,11,0.5675675675675675
2,mamba_t64_posoff,214,64,0.6891599949167619,190,53,0.6940686784599376,24,11,0.6216216216216216
2,mamba_t64_poson,214,64,0.6665395857161012,190,53,0.6741241762053417,24,11,0.581081081081081
