model,repeat,fold,components,alpha,inner_cindex
resnet18,0,0,8,100.0,0.8325788843030222
dinov2,0,0,8,1.0,0.8414713975058802
resnet18,0,1,8,1.0,0.8729375696767002
dinov2,0,1,8,10.0,0.8475845410628019
resnet18,0,2,8,100.0,0.8272742788871822
dinov2,0,2,8,1.0,0.7781532684758491
resnet18,0,3,8,1.0,0.7861213634389926
dinov2,0,3,8,10.0,0.8062460799922807
resnet18,0,4,8,1.0,0.8123749813404985
dinov2,0,4,8,10.0,0.7606408916753744
resnet18,1,0,4,1.0,0.7918028712890214
dinov2,1,0,8,10.0,0.7754719712051822
resnet18,1,1,8,100.0,0.8050366464649615
dinov2,1,1,8,10.0,0.8204804209858536
resnet18,1,2,8,100.0,0.8236549165120594
dinov2,1,2,4,100.0,0.7782931354359924
resnet18,1,3,8,10.0,0.8663290546291694
dinov2,1,3,4,100.0,0.783239933048848
resnet18,1,4,8,10.0,0.7697466434720549
dinov2,1,4,8,100.0,0.8028681029483921
resnet18,2,0,8,100.0,0.7881328802206462
dinov2,2,0,8,100.0,0.7916297281323876
resnet18,2,1,8,10.0,0.7952447088743736
dinov2,2,1,8,1.0,0.7706110797757603
resnet18,2,2,8,100.0,0.8393315994595313
dinov2,2,2,8,100.0,0.8042558010575068
resnet18,2,3,4,1.0,0.747080561714708
dinov2,2,3,8,1.0,0.7772357723577236
resnet18,2,4,8,100.0,0.8783410138248847
dinov2,2,4,8,100.0,0.8442225635774022
