model,repeat,fold,n,events,cindex
resnet18,0,0,15,4,0.9090909090909091
resnet18,0,1,15,4,0.9444444444444444
resnet18,0,2,15,4,0.7931034482758621
resnet18,0,3,15,4,0.8064516129032258
resnet18,0,4,15,4,0.9333333333333333
resnet18,1,0,15,4,0.8214285714285714
resnet18,1,1,15,4,0.6296296296296297
resnet18,1,2,15,4,0.8518518518518519
resnet18,1,3,15,4,0.78125
resnet18,1,4,15,4,0.8214285714285714
resnet18,2,0,15,4,0.71875
resnet18,2,1,15,4,0.8333333333333334
resnet18,2,2,15,4,0.6363636363636364
resnet18,2,3,15,4,0.8787878787878788
resnet18,2,4,15,4,0.5666666666666667
dinov2,0,0,15,4,0.696969696969697
dinov2,0,1,15,4,0.8333333333333334
dinov2,0,2,15,4,0.6551724137931034
dinov2,0,3,15,4,0.8709677419354839
dinov2,0,4,15,4,0.9
dinov2,1,0,15,4,0.8928571428571429
dinov2,1,1,15,4,0.6296296296296297
dinov2,1,2,15,4,0.5925925925925926
dinov2,1,3,15,4,0.78125
dinov2,1,4,15,4,0.8928571428571429
dinov2,2,0,15,4,0.84375
dinov2,2,1,15,4,0.9166666666666666
dinov2,2,2,15,4,0.9090909090909091
dinov2,2,3,15,4,0.7575757575757576
dinov2,2,4,15,4,0.7
