model,repeat,fold,pca_dim,penalizer,inner_cindex,weight_full,weight_local
full,0,0,8.0,100.0,0.8586462077841389,,
local,0,0,8.0,0.1,0.7164214707318156,,
global_local,0,0,,,0.8806451612903226,0.6,0.4
full,0,1,8.0,0.1,0.8463721664808621,,
local,0,1,4.0,0.1,0.7321256038647342,,
global_local,0,1,,,0.8323643410852714,0.9,0.1
full,0,2,8.0,1.0,0.819252432155658,,
local,0,2,8.0,100.0,0.7090032428742106,,
global_local,0,2,,,0.8108108108108109,0.8,0.2
full,0,3,8.0,0.1,0.7375660370531191,,
local,0,3,4.0,0.1,0.6283847758961741,,
global_local,0,3,,,0.7088744588744589,0.9,0.1
full,0,4,8.0,0.1,0.7233716475095786,,
local,0,4,4.0,0.1,0.7384758919241677,,
global_local,0,4,,,0.8393617021276596,0.7,0.3
full,1,0,4.0,0.1,0.7383437517921662,,
local,1,0,4.0,1.0,0.7464136196429596,,
global_local,1,0,,,0.7851153039832285,0.3,0.7
full,1,1,8.0,10.0,0.7924580301127605,,
local,1,1,4.0,0.1,0.7188947041373197,,
global_local,1,1,,,0.8100616016427105,0.6,0.4
full,1,2,8.0,100.0,0.8368119975262833,,
local,1,2,8.0,100.0,0.7935374149659863,,
global_local,1,2,,,0.8340163934426229,0.8,0.2
full,1,3,8.0,1.0,0.8416279641023005,,
local,1,3,4.0,10.0,0.7829828680456776,,
global_local,1,3,,,0.8619565217391304,0.5,0.5
full,1,4,8.0,100.0,0.7737287568580222,,
local,1,4,8.0,0.1,0.7750256478879521,,
global_local,1,4,,,0.849896480331263,0.5,0.5
full,2,0,8.0,10.0,0.7841496749408984,,
local,2,0,8.0,0.1,0.6192560579196217,,
global_local,2,0,,,0.8278145695364238,0.9,0.1
full,2,1,8.0,0.1,0.8165133256106856,,
local,2,1,4.0,1.0,0.6772125284797909,,
global_local,2,1,,,0.7595573440643864,0.7,0.3
full,2,2,8.0,0.1,0.8280038192085101,,
local,2,2,8.0,1.0,0.7776101829939783,,
global_local,2,2,,,0.8139763779527559,0.6,0.4
full,2,3,4.0,0.1,0.7450110864745012,,
local,2,3,4.0,1.0,0.749150036954915,,
global_local,2,3,,,0.7456709956709957,0.5,0.5
full,2,4,8.0,0.1,0.8622119815668202,,
local,2,4,4.0,0.1,0.7995078796154065,,
global_local,2,4,,,0.8765822784810127,0.7,0.3
