model,repeat,fold,n,events,cindex
full,0,0,15,4,0.803030303030303
full,0,1,15,4,0.8333333333333334
full,0,2,15,4,0.7931034482758621
full,0,3,15,4,0.7580645161290323
full,0,4,15,4,0.8833333333333333
full,1,0,15,4,0.8214285714285714
full,1,1,15,4,0.6851851851851852
full,1,2,15,4,0.9444444444444444
full,1,3,15,4,0.78125
full,1,4,15,4,0.7678571428571429
full,2,0,15,4,0.734375
full,2,1,15,4,0.8958333333333334
full,2,2,15,4,0.6363636363636364
full,2,3,15,4,0.7727272727272727
full,2,4,15,4,0.6166666666666667
local,0,0,15,4,0.7575757575757576
local,0,1,15,4,0.5833333333333334
local,0,2,15,4,0.7758620689655172
local,0,3,15,4,0.8709677419354839
local,0,4,15,4,0.65
local,1,0,15,4,0.6964285714285714
local,1,1,15,4,0.6851851851851852
local,1,2,15,4,0.5370370370370371
local,1,3,15,4,0.78125
local,1,4,15,4,0.9107142857142857
local,2,0,15,4,0.703125
local,2,1,15,4,0.9583333333333334
local,2,2,15,4,0.7954545454545454
local,2,3,15,4,0.7424242424242424
local,2,4,15,4,0.4666666666666667
global_local,0,0,15,4,0.8787878787878788
global_local,0,1,15,4,0.8333333333333334
global_local,0,2,15,4,0.7931034482758621
global_local,0,3,15,4,0.7741935483870968
global_local,0,4,15,4,0.7666666666666667
global_local,1,0,15,4,0.7857142857142857
global_local,1,1,15,4,0.7777777777777778
global_local,1,2,15,4,0.8888888888888888
global_local,1,3,15,4,0.90625
global_local,1,4,15,4,0.9285714285714286
global_local,2,0,15,4,0.71875
global_local,2,1,15,4,0.875
global_local,2,2,15,4,0.7272727272727273
global_local,2,3,15,4,0.8181818181818182
global_local,2,4,15,4,0.5
