model,repeat,fold,epochs,inner_best_epochs,inner_stopped_at_cap
frozen,0,0,9,"[5, 11, 9]",0
adapted,0,0,10,"[5, 10, 25]",0
frozen,0,1,13,"[19, 13, 13]",0
adapted,0,1,16,"[5, 16, 22]",0
frozen,0,2,12,"[1, 13, 12]",0
adapted,0,2,12,"[1, 19, 12]",0
frozen,0,3,6,"[1, 6, 15]",0
adapted,0,3,6,"[1, 11, 6]",0
frozen,0,4,9,"[2, 10, 9]",0
adapted,0,4,7,"[2, 8, 7]",0
frozen,1,0,20,"[20, 20, 10]",0
adapted,1,0,20,"[20, 23, 7]",0
frozen,1,1,11,"[11, 11, 1]",0
adapted,1,1,11,"[11, 11, 1]",0
frozen,1,2,3,"[2, 15, 3]",0
adapted,1,2,12,"[4, 18, 12]",0
frozen,1,3,14,"[5, 14, 15]",0
adapted,1,3,4,"[4, 6, 1]",0
frozen,1,4,11,"[18, 11, 1]",0
adapted,1,4,10,"[12, 10, 2]",0
frozen,2,0,5,"[2, 22, 5]",0
adapted,2,0,5,"[1, 16, 5]",0
frozen,2,1,1,"[10, 1, 1]",0
adapted,2,1,1,"[1, 15, 1]",0
frozen,2,2,3,"[5, 3, 1]",0
adapted,2,2,5,"[6, 3, 5]",0
frozen,2,3,3,"[26, 3, 3]",0
adapted,2,3,2,"[19, 2, 2]",0
frozen,2,4,13,"[13, 22, 2]",0
adapted,2,4,15,"[15, 19, 2]",0
