model,repeat,fold,n,events,cindex
frozen,0,0,15,4,0.8181818181818182
frozen,0,1,15,4,0.9444444444444444
frozen,0,2,15,4,0.8620689655172413
frozen,0,3,15,4,0.8709677419354839
frozen,0,4,15,4,0.8666666666666667
frozen,1,0,15,4,0.8214285714285714
frozen,1,1,15,4,0.7037037037037037
frozen,1,2,15,4,0.8148148148148148
frozen,1,3,15,4,0.84375
frozen,1,4,15,4,0.8928571428571429
frozen,2,0,15,4,0.8125
frozen,2,1,15,4,0.75
frozen,2,2,15,4,0.6818181818181818
frozen,2,3,15,4,0.9090909090909091
frozen,2,4,15,4,0.5666666666666667
adapted,0,0,15,4,0.8181818181818182
adapted,0,1,15,4,1.0
adapted,0,2,15,4,0.8620689655172413
adapted,0,3,15,4,0.8709677419354839
adapted,0,4,15,4,0.8666666666666667
adapted,1,0,15,4,0.8214285714285714
adapted,1,1,15,4,0.7037037037037037
adapted,1,2,15,4,0.8518518518518519
adapted,1,3,15,4,0.8125
adapted,1,4,15,4,0.8928571428571429
adapted,2,0,15,4,0.8125
adapted,2,1,15,4,0.75
adapted,2,2,15,4,0.7272727272727273
adapted,2,3,15,4,0.9090909090909091
adapted,2,4,15,4,0.6
