model,repeat,fold,epochs,inner_best_epochs,inner_stopped_at_cap
frozen,0,0,12,"[21, 12, 12]",0
adapted,0,0,7,"[10, 7, 3]",0
frozen,0,1,22,"[22, 3, 36]",0
adapted,0,1,14,"[14, 9, 23]",0
frozen,0,2,10,"[10, 6, 14]",0
adapted,0,2,5,"[5, 4, 7]",0
frozen,0,3,18,"[20, 9, 18]",0
adapted,0,3,7,"[7, 4, 11]",0
frozen,0,4,32,"[23, 32, 41]",0
adapted,0,4,11,"[11, 21, 9]",0
frozen,1,0,14,"[14, 35, 12]",0
adapted,1,0,9,"[9, 43, 6]",0
frozen,1,1,12,"[2, 12, 21]",0
adapted,1,1,3,"[2, 3, 8]",0
frozen,1,2,16,"[38, 16, 8]",0
adapted,1,2,17,"[40, 17, 1]",0
frozen,1,3,21,"[32, 20, 21]",0
adapted,1,3,20,"[30, 20, 5]",0
frozen,1,4,9,"[9, 1, 14]",0
adapted,1,4,5,"[5, 1, 9]",0
frozen,2,0,21,"[27, 21, 17]",0
adapted,2,0,3,"[3, 11, 2]",0
frozen,2,1,8,"[8, 7, 19]",0
adapted,2,1,4,"[4, 3, 24]",0
frozen,2,2,22,"[54, 12, 22]",0
adapted,2,2,22,"[22, 7, 29]",0
frozen,2,3,31,"[31, 8, 31]",0
adapted,2,3,13,"[13, 2, 18]",0
frozen,2,4,7,"[5, 7, 23]",0
adapted,2,4,2,"[1, 2, 32]",0
