repeat,fold,split_seed,n_train,n_heldout,events_train,events_heldout,cindex_tabular,cindex_text,cindex_vision_mean,cindex_vision_moments,cindex_fusion_mean,cindex_fusion_moments,cindex_fusion_bimodal_moments,delta_vision_moments_minus_mean,delta_fusion_moments_minus_mean,delta_fusion_moments_minus_tabular,delta_bimodal_minus_trimodal_moments,delta_bimodal_minus_tabular,mean_weight_tabular,mean_weight_text,mean_weight_vision,moments_weight_tabular,moments_weight_text,moments_weight_vision,bimodal_weight_tabular,bimodal_weight_vision,mean_fusion_inner_cindex,moments_fusion_inner_cindex,bimodal_fusion_inner_cindex,tabular_pca_dim,tabular_penalizer,tabular_inner_cindex,text_pca_dim,text_penalizer,text_inner_cindex,vision_mean_pca_dim,vision_mean_penalizer,vision_mean_inner_cindex,vision_moments_pca_dim,vision_moments_penalizer,vision_moments_inner_cindex
0,0,20260827,57,15,16,4,0.8148148148148148,0.42592592592592593,0.7037037037037037,0.8333333333333334,0.8148148148148148,0.8148148148148148,0.8518518518518519,0.12962962962962965,0.0,0.0,0.03703703703703709,0.03703703703703709,0.7,0.2,0.1,0.6,0.1,0.3,0.7,0.3,0.7308558558558559,0.7522522522522522,0.7511261261261262,,10.0,0.716401810746329,4,0.1,0.49892621567725115,8,0.1,0.6209068092286704,8,100.0,0.6605013822117346
0,1,20260828,57,15,16,4,0.8695652173913043,0.3695652173913043,0.6956521739130435,0.8260869565217391,0.782608695652174,0.8260869565217391,0.8260869565217391,0.13043478260869568,0.04347826086956519,-0.04347826086956519,0.0,-0.04347826086956519,0.6,0.0,0.4,0.4,0.0,0.6,0.4,0.6,0.7445414847161572,0.7860262008733624,0.787117903930131,,1.0,0.7300377468060395,8,10.0,0.3305023228803717,8,0.1,0.6323315911730546,8,1.0,0.7065185830429733
0,2,20260829,58,14,16,4,0.9375,0.2916666666666667,0.375,0.7916666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.41666666666666663,0.0,-0.02083333333333337,0.0,-0.02083333333333337,0.6,0.0,0.4,0.6,0.0,0.4,0.6,0.4,0.7339449541284404,0.7396788990825688,0.7396788990825688,,100.0,0.7068802055644161,8,0.1,0.5044967216019848,8,1.0,0.6859516214779373,8,10.0,0.7399432925748716
0,3,20260830,58,14,16,4,0.6666666666666666,0.47619047619047616,0.7142857142857143,0.6904761904761905,0.6666666666666666,0.7142857142857143,0.7142857142857143,-0.023809523809523836,0.04761904761904767,0.04761904761904767,0.0,0.04761904761904767,0.7,0.0,0.3,0.5,0.0,0.5,0.5,0.5,0.7691489361702127,0.8489361702127659,0.8489361702127659,,10.0,0.795061827848713,8,1.0,0.4480686349538809,8,100.0,0.6149944281091821,8,100.0,0.7891019186101152
0,4,20260831,58,14,16,4,0.7567567567567568,0.35135135135135137,0.4864864864864865,0.7162162162162162,0.7567567567567568,0.7837837837837838,0.7837837837837838,0.22972972972972971,0.027027027027026973,0.027027027027026973,0.0,0.027027027027026973,1.0,0.0,0.0,0.9,0.0,0.1,0.9,0.1,0.783375314861461,0.8047858942065491,0.8047858942065491,,100.0,0.7528250893326803,4,10.0,0.43617021276595747,8,100.0,0.5479584988481979,8,1.0,0.6979829859788503
1,0,20260927,57,15,16,4,0.9285714285714286,0.32142857142857145,0.25,0.7857142857142857,0.7142857142857143,0.9642857142857143,0.9642857142857143,0.5357142857142857,0.25,0.0357142857142857,0.0,0.0357142857142857,0.6,0.0,0.4,0.9,0.0,0.1,0.9,0.1,0.6226851851851852,0.625,0.6238425925925926,,10.0,0.6371031284714149,8,0.1,0.3803379059133534,4,0.1,0.4976232917409387,8,100.0,0.6172563228189827
1,1,20260928,57,15,16,4,0.8833333333333333,0.3,0.48333333333333334,0.8166666666666667,0.8,0.8333333333333334,0.8833333333333333,0.3333333333333333,0.033333333333333326,-0.04999999999999993,0.04999999999999993,0.0,0.7,0.0,0.3,0.8,0.2,0.0,1.0,0.0,0.7505938242280285,0.7339667458432304,0.7256532066508313,,100.0,0.7395812870602786,4,10.0,0.5159100003637819,8,0.1,0.5956746334897595,8,100.0,0.5865546218487395
1,2,20260929,58,14,16,4,0.8260869565217391,0.5217391304347826,0.6086956521739131,0.7391304347826086,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.13043478260869557,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.3,0.0,0.7,0.3,0.7,0.7054945054945055,0.7373626373626374,0.7373626373626374,,1.0,0.7296581684424149,4,1.0,0.45337867833587014,8,100.0,0.6810074200913242,8,100.0,0.737189244038559
1,3,20260930,58,14,16,4,0.5,0.6458333333333334,0.6666666666666666,0.75,0.5,0.5,0.5,0.08333333333333337,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.8,0.2,0.0,0.9,0.1,0.8608017817371938,0.8608017817371938,0.8574610244988864,,0.1,0.8556699346405229,4,0.1,0.39916666666666667,8,10.0,0.7159967320261438,8,0.1,0.7310620915032681
1,4,20260931,58,14,16,4,0.74,0.58,0.42,0.6,0.76,0.8,0.8,0.18,0.040000000000000036,0.06000000000000005,0.0,0.06000000000000005,0.9,0.1,0.0,0.8,0.1,0.1,0.7,0.3,0.8127802690582959,0.8228699551569507,0.8195067264573991,,100.0,0.856220257284087,8,100.0,0.4477894445979553,8,0.1,0.6193577108470726,8,0.1,0.8171548309846183
