repeat,outer_fold,model,n_train,n_heldout,events_train,events_heldout,inner_mean_cindex,heldout_cindex,pca_components,pca_variance_explained,alpha
0,0,stunet_mean_768,60,15,16,4,0.7286283376399657,0.6818181818181818,4,0.45831173624270666,100.0
0,0,stunet_renal_moments_512,60,15,16,4,0.713016795865633,0.7272727272727273,8,0.7495571534826162,100.0
0,1,stunet_mean_768,60,15,16,4,0.609062980030722,0.5,4,0.47564703065791275,1.0
0,1,stunet_renal_moments_512,60,15,16,4,0.7271467726875697,0.5833333333333334,4,0.6020390226738537,100.0
0,2,stunet_mean_768,60,15,16,4,0.661267395740193,0.6428571428571429,4,0.4757627275504726,100.0
0,2,stunet_renal_moments_512,60,15,16,4,0.7013836348212853,0.75,4,0.5923749517234908,1.0
0,3,stunet_mean_768,60,15,16,4,0.5885474084231848,0.6451612903225806,8,0.6489223171935337,1.0
0,3,stunet_renal_moments_512,60,15,16,4,0.660598890412555,0.7741935483870968,8,0.7591178901181251,100.0
0,4,stunet_mean_768,60,15,16,4,0.6518221921447728,0.6052631578947368,8,0.660053210162068,1.0
0,4,stunet_renal_moments_512,60,15,16,4,0.6970386244579793,0.6578947368421053,4,0.6225304722298655,100.0
1,0,stunet_mean_768,60,15,16,4,0.5770553835569315,0.3055555555555556,4,0.4776659938539364,100.0
1,0,stunet_renal_moments_512,60,15,16,4,0.6025111799105608,0.8611111111111112,8,0.7609321751929387,1.0
1,1,stunet_mean_768,60,15,16,4,0.6283068783068784,0.41935483870967744,4,0.4731186949934737,100.0
1,1,stunet_renal_moments_512,60,15,16,4,0.7162698412698413,0.7096774193548387,8,0.7576953856045945,100.0
1,2,stunet_mean_768,60,15,16,4,0.6222758990874934,0.6785714285714286,8,0.6433583953573925,10.0
1,2,stunet_renal_moments_512,60,15,16,4,0.6812399355877616,0.75,8,0.7488393686254144,10.0
1,3,stunet_mean_768,60,15,16,4,0.6468539804171988,0.43478260869565216,8,0.6585014595658525,10.0
1,3,stunet_renal_moments_512,60,15,16,4,0.7526947637292465,0.5652173913043478,8,0.7504303511788111,100.0
1,4,stunet_mean_768,60,15,16,4,0.39885699096225413,0.6551724137931034,4,0.45789598243843144,10.0
1,4,stunet_renal_moments_512,60,15,16,4,0.7155768208399786,0.5517241379310345,4,0.6131464295820981,1.0
2,0,stunet_mean_768,60,15,16,4,0.5731826722061976,0.7931034482758621,8,0.6596824830043013,100.0
2,0,stunet_renal_moments_512,60,15,16,4,0.7073369381448451,0.9310344827586207,4,0.6020028865834732,1.0
2,1,stunet_mean_768,60,15,16,4,0.5013218428397,0.41935483870967744,8,0.6399480727660986,10.0
2,1,stunet_renal_moments_512,60,15,16,4,0.66102226146869,0.5806451612903226,8,0.7593818395700265,100.0
2,2,stunet_mean_768,60,15,16,4,0.5782312925170068,0.5757575757575758,8,0.6453508623891925,100.0
2,2,stunet_renal_moments_512,60,15,16,4,0.7646258503401361,0.45454545454545453,8,0.7523907835550441,10.0
2,3,stunet_mean_768,60,15,16,4,0.6607804232804233,0.3333333333333333,4,0.45388105341771406,10.0
2,3,stunet_renal_moments_512,60,15,16,4,0.6652116402116403,0.7777777777777778,8,0.7491508346142108,100.0
2,4,stunet_mean_768,60,15,16,4,0.5443959921958196,0.6538461538461539,4,0.4785822629027156,100.0
2,4,stunet_renal_moments_512,60,15,16,4,0.7299758775168611,0.6153846153846154,8,0.7632371230653419,100.0
3,0,stunet_mean_768,60,15,16,4,0.6736858379715523,0.5757575757575758,8,0.6483475270628188,100.0
3,0,stunet_renal_moments_512,60,15,16,4,0.7063079777365492,0.6363636363636364,4,0.6076602949600771,10.0
3,1,stunet_mean_768,60,15,16,4,0.6792325119766569,0.6333333333333333,8,0.655371256585447,10.0
3,1,stunet_renal_moments_512,60,15,16,4,0.7431594526159263,0.6666666666666666,4,0.6042181621472048,100.0
3,2,stunet_mean_768,60,15,16,4,0.5270637100994243,0.37142857142857144,4,0.4665253837827519,10.0
3,2,stunet_renal_moments_512,60,15,16,4,0.6025940825047967,0.8571428571428571,8,0.7619614437806086,100.0
3,3,stunet_mean_768,60,15,16,4,0.6869414432439642,0.72,8,0.6456173118337801,1.0
3,3,stunet_renal_moments_512,60,15,16,4,0.7662398292650393,0.76,8,0.7522154352916279,1.0
3,4,stunet_mean_768,60,15,16,4,0.5829313543599258,0.4444444444444444,8,0.6550706463949925,10.0
3,4,stunet_renal_moments_512,60,15,16,4,0.673716759431045,0.5,8,0.7611685888336571,10.0
4,0,stunet_mean_768,60,15,16,4,0.6731029810298104,0.4583333333333333,4,0.492231267894798,100.0
4,0,stunet_renal_moments_512,60,15,16,4,0.7601626016260162,0.5416666666666666,4,0.599279703587088,100.0
4,1,stunet_mean_768,60,15,16,4,0.7070707070707071,0.5,4,0.4549674034780548,1.0
4,1,stunet_renal_moments_512,60,15,16,4,0.8115773115773116,0.6363636363636364,4,0.5944551497398363,10.0
4,2,stunet_mean_768,60,15,16,4,0.7188888888888888,0.391304347826087,8,0.644688796439054,100.0
4,2,stunet_renal_moments_512,60,15,16,4,0.7755555555555556,0.391304347826087,4,0.6020634664990542,100.0
4,3,stunet_mean_768,60,15,16,4,0.6190007037297678,0.4411764705882353,4,0.460766518769433,1.0
4,3,stunet_renal_moments_512,60,15,16,4,0.6251700680272109,0.8235294117647058,8,0.7550060525878168,10.0
4,4,stunet_mean_768,60,15,16,4,0.5896606869698234,0.5333333333333333,8,0.6548087023450562,100.0
4,4,stunet_renal_moments_512,60,15,16,4,0.6102211097204839,0.6666666666666666,4,0.6193164436762608,100.0
